district,CF_no_children_F_pc,CF_no_children_P_pc,CF_ChU15_a_DSs_a_NdCh_F_pc,CF_ChU15_a_DSs_a_NdCh_P_pc,CF_ChU15_a_DSs_a_no_NdCh_F_pc,CF_ChU15_a_DSs_a_no_NdCh_P_pc,CF_ChU15_a_no_DSs_a_NdCh_F_pc,CF_ChU15_a_no_DSs_a_NdCh_P_pc,CF_ChU15_a_no_DSs_a_no_NdCh_F_pc,CF_ChU15_a_no_DSs_a_no_NdCh_P_pc,CF_ChU15_a_Total_F_pc,CF_ChU15_a_Total_P_pc,CF_no_ChU15_a_DSs_a_NdCh_F_pc,CF_no_ChU15_a_DSs_a_NdCh_P_pc,CF_no_ChU15_a_DSs_a_no_NdCh_F_pc,CF_no_ChU15_a_DSs_a_no_NdCh_P_pc,CF_no_ChU15_a_no_DSs_a_NdCh_F_pc,CF_no_ChU15_a_no_DSs_a_NdCh_P_pc,CF_no_ChU15_a_Total_F_pc,CF_no_ChU15_a_Total_P_pc,CF_Total_F_pc,CF_Total_P_pc,OPF_ChU15_a_DSs_a_NdCh_F_pc,OPF_ChU15_a_DSs_a_NdCh_P_pc,OPF_ChU15_a_DSs_a_no_NdCh_F_pc,OPF_ChU15_a_DSs_a_no_NdCh_P_pc,OPF_ChU15_a_no_DSs_a_NdCh_F_pc,OPF_ChU15_a_no_DSs_a_NdCh_P_pc,OPF_ChU15_a_no_DSs_no_NdCh_F_pc,OPF_ChU15_a_no_DSs_no_NdCh_P_pc,OPF_ChU15_a_Total_F_pc,OPF_ChU15_a_Total_P_pc,OPF_no_ChU15_a_DSs_a_NdCh_F_pc,OPF_no_ChU15_a_DSs_a_NdCh_P_pc,OPF_no_ChU15_a_DSs_no_NdCh_F_pc,OPF_no_ChU15_a_DSs_no_NdCh_P_pc,OPF_no_ChU15_no_DSs_a_NdCh_F_pc,OPF_no_ChU15_no_DSs_a_NdCh_P_pc,OPF_no_ChU15_a_Total_F_pc,OPF_no_ChU15_a_Total_P_pc,OPF_Total_F_pc,OPF_Total_P_pc,Other_family_F_pc,Other_family_P_pc,Total_F_pc,Total_P_pc
South-West Coast,0.1593,0.3191,0.0017,0.0154,0.0132,0.0597,0.0023,0.0179,0.0731,0.2873,0.0924,0.3812,0.005,0.0257,0.0095,0.0355,0.0273,0.0864,0.0449,0.1478,0.1371,0.5302,0.0001,0.0033,0.0028,0.0143,0.0007,0.0075,0.022,0.0582,0.0292,0.0819,0.0006,0.0052,0.0042,0.0086,0.0209,0.045,0.0272,0.0591,0.0564,0.1435,0.0041,0.0114,0.358,1.0
St Albans,0.0974,0.2001,0.0018,0.0164,0.013,0.0664,0.003,0.0178,0.0663,0.2627,0.0867,0.3645,0.0098,0.0431,0.0125,0.0467,0.0367,0.1235,0.0588,0.2134,0.1454,0.578,0.0005,0.0075,0.0054,0.021,0.0012,0.0088,0.0215,0.0593,0.03,0.0962,0.0037,0.0142,0.007,0.0192,0.0311,0.073,0.0422,0.1065,0.0733,0.2028,0.0082,0.02,0.3242,1.0
Sunbury,0.1201,0.2432,0.0019,0.0132,0.0122,0.0613,0.0027,0.0158,0.0822,0.3146,0.1017,0.4055,0.0088,0.0406,0.0112,0.0394,0.0339,0.112,0.0546,0.1902,0.1555,0.5957,0.0002,0.0038,0.0027,0.0121,0.0006,0.0052,0.0191,0.0512,0.025,0.0725,0.0023,0.01,0.0048,0.0126,0.0254,0.0557,0.0338,0.0787,0.0583,0.1501,0.0046,0.0107,0.3408,1.0
Sydenham,0.0761,0.1567,0.0025,0.0206,0.02,0.0948,0.0029,0.0171,0.0811,0.3179,0.1091,0.4512,0.0138,0.0616,0.0173,0.0633,0.0387,0.1328,0.07,0.257,0.1787,0.7083,0.0005,0.0054,0.003,0.0121,0.0005,0.0051,0.014,0.0383,0.0196,0.0614,0.0028,0.0118,0.0037,0.012,0.018,0.0419,0.0266,0.0667,0.0461,0.1276,0.0029,0.0074,0.3053,1.0
Tarneit,0.0778,0.1603,0.0025,0.0222,0.0166,0.0804,0.0023,0.0155,0.1143,0.4426,0.1356,0.5607,0.0068,0.0331,0.0117,0.0405,0.0217,0.0732,0.0406,0.1474,0.1772,0.7073,0.0003,0.0056,0.003,0.0142,0.0006,0.0049,0.0159,0.0455,0.0222,0.0708,0.0014,0.0093,0.0032,0.0097,0.0132,0.0319,0.0201,0.0497,0.0421,0.1201,0.0046,0.0118,0.3025,1.0
Thomastown,0.0948,0.1911,0.0019,0.0181,0.0141,0.0696,0.0024,0.0144,0.0968,0.379,0.1175,0.4821,0.0076,0.0352,0.0091,0.0319,0.0287,0.0946,0.0455,0.1629,0.1629,0.6446,0.0003,0.0045,0.0023,0.0125,0.0009,0.0067,0.0168,0.0465,0.023,0.07,0.0023,0.0103,0.0037,0.0108,0.0253,0.0594,0.0323,0.0806,0.0552,0.1517,0.0052,0.014,0.3181,1.0
Warrandyte,0.1129,0.2253,0.0011,0.0112,0.0195,0.0881,0.0013,0.0097,0.0807,0.3131,0.1039,0.4225,0.0126,0.0535,0.0217,0.0775,0.0342,0.1133,0.0689,0.244,0.1724,0.668,0.0,0.0015,0.0019,0.0104,0.0003,0.0031,0.0099,0.0276,0.0147,0.0425,0.0015,0.0091,0.0044,0.0135,0.0156,0.036,0.0247,0.0589,0.0397,0.1011,0.0018,0.0057,0.3273,1.0
Wendouree,0.1416,0.2821,0.0009,0.0112,0.0127,0.0632,0.0027,0.0152,0.075,0.2917,0.0937,0.3801,0.0042,0.0205,0.0108,0.0385,0.023,0.0696,0.0394,0.1285,0.132,0.5082,0.0004,0.0049,0.0046,0.0177,0.0017,0.0103,0.0313,0.0844,0.0402,0.1173,0.0017,0.008,0.0065,0.0144,0.0255,0.056,0.0354,0.0794,0.0749,0.1961,0.0047,0.0132,0.3561,1.0
Werribee,0.0927,0.1892,0.0025,0.0177,0.0136,0.0658,0.0027,0.0154,0.1039,0.3975,0.1242,0.4961,0.006,0.0313,0.0098,0.0342,0.0217,0.0735,0.0396,0.139,0.1628,0.6362,0.0006,0.0061,0.003,0.0146,0.0012,0.0089,0.024,0.0655,0.0306,0.0957,0.0017,0.0089,0.0038,0.012,0.0194,0.046,0.0274,0.0674,0.0595,0.1625,0.0046,0.0119,0.3208,1.0
Williamstown,0.126,0.2511,0.0009,0.0107,0.0144,0.0663,0.0008,0.0096,0.0982,0.3717,0.1161,0.4577,0.0066,0.0309,0.014,0.0526,0.0226,0.0732,0.045,0.157,0.1608,0.6152,0.0001,0.0021,0.0029,0.0121,0.0004,0.0035,0.0162,0.0392,0.0214,0.0566,0.001,0.0068,0.0054,0.0137,0.0199,0.0436,0.0283,0.064,0.049,0.121,0.0057,0.0129,0.3423,1.0
Yan Yean,0.0859,0.1747,0.0016,0.0144,0.0171,0.0805,0.0029,0.0181,0.1084,0.4244,0.1319,0.5378,0.0082,0.0358,0.0104,0.0384,0.0232,0.0778,0.0422,0.1523,0.1752,0.69,0.0002,0.0029,0.0038,0.0159,0.001,0.0066,0.0187,0.0499,0.0257,0.0757,0.0021,0.0081,0.0044,0.0105,0.0152,0.0348,0.0229,0.0534,0.0488,0.1294,0.0023,0.0066,0.3132,1.0
