district,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_FamHhold_pc,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_NonFamHhold_pc,Num_Psns_UR_1_Total,Num_Psns_UR_1_Total_pc,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_FamHhold_pc,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_NonFamHhold_pc,Num_Psns_UR_2_Total,Num_Psns_UR_2_Total_pc,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_FamHhold_pc,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_NonFamHhold_pc,Num_Psns_UR_3_Total,Num_Psns_UR_3_Total_pc,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_FamHhold_pc,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_NonFamHhold_pc,Num_Psns_UR_4_Total,Num_Psns_UR_4_Total_pc,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_FamHhold_pc,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_NonFamHhold_pc,Num_Psns_UR_5_Total,Num_Psns_UR_5_Total_pc,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_FamHhold_pc,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_NonFamHhold_pc,Num_Psns_UR_6mo_Total,Num_Psns_UR_6mo_Total_pc,Total_FamHhold,Total_FamHhold_pc,Total_NonFamHhold,Total_NonFamHhold_pc,Total_Total,Total_Total_pc,Total_Total_total
Greenvale,Null,Null,2841.0,0.1281,2841.0,0.1281,5115.0,0.2306,217.0,0.0098,5419.0,0.2443,4145.0,0.1868,34.0,0.0015,4241.0,0.1912,4914.0,0.2215,11.0,0.0005,4968.0,0.2239,2685.0,0.121,0.0,0.0,2696.0,0.1215,2089.0,0.0942,0.0,0.0,2100.0,0.0947,18984.0,0.8558,3246.0,0.1463,22184.0,1.0,22184.0
Hastings,Null,Null,6123.0,0.2504,6123.0,0.2504,7825.0,0.32,368.0,0.0151,8261.0,0.3379,3831.0,0.1567,7.0,0.0003,3868.0,0.1582,3958.0,0.1619,0.0,0.0,3961.0,0.162,1599.0,0.0654,0.0,0.0,1605.0,0.0656,637.0,0.0261,0.0,0.0,640.0,0.0262,17877.0,0.7311,6555.0,0.2681,24451.0,1.0,24451.0
Hawthorn,Null,Null,8680.0,0.3081,8680.0,0.3081,8507.0,0.302,1040.0,0.0369,9554.0,0.3391,3488.0,0.1238,284.0,0.0101,3776.0,0.134,4161.0,0.1477,61.0,0.0022,4263.0,0.1513,1517.0,0.0538,11.0,0.0004,1579.0,0.056,352.0,0.0125,8.0,0.0003,379.0,0.0135,17947.0,0.637,10251.0,0.3639,28173.0,1.0,28173.0
Ivanhoe,Null,Null,6871.0,0.2714,6871.0,0.2714,7587.0,0.2997,578.0,0.0228,8192.0,0.3236,3894.0,0.1538,159.0,0.0063,4129.0,0.1631,4200.0,0.1659,59.0,0.0023,4268.0,0.1686,1354.0,0.0535,8.0,0.0003,1360.0,0.0537,416.0,0.0164,0.0,0.0,429.0,0.0169,17486.0,0.6908,7784.0,0.3075,25313.0,1.0,25313.0
Kalkallo,Null,Null,3645.0,0.1297,3645.0,0.1297,5999.0,0.2135,389.0,0.0138,6432.0,0.2289,5714.0,0.2033,50.0,0.0018,5848.0,0.2081,6799.0,0.2419,26.0,0.0009,6826.0,0.2429,3142.0,0.1118,4.0,0.0001,3167.0,0.1127,2138.0,0.0761,4.0,0.0001,2143.0,0.0763,23848.0,0.8486,4228.0,0.1505,28102.0,1.0,28102.0
Kew,Null,Null,5999.0,0.226,5999.0,0.226,7581.0,0.2856,421.0,0.0159,8094.0,0.305,4397.0,0.1657,145.0,0.0055,4550.0,0.1714,5149.0,0.194,48.0,0.0018,5202.0,0.196,1930.0,0.0727,17.0,0.0006,1962.0,0.0739,619.0,0.0233,0.0,0.0,646.0,0.0243,19652.0,0.7404,6860.0,0.2585,26541.0,1.0,26541.0
Kororoit,Null,Null,3960.0,0.1536,3960.0,0.1536,5868.0,0.2276,324.0,0.0126,6272.0,0.2433,4974.0,0.1929,70.0,0.0027,5088.0,0.1974,5945.0,0.2306,31.0,0.0012,6023.0,0.2336,2635.0,0.1022,0.0,0.0,2693.0,0.1045,1816.0,0.0704,0.0,0.0,1838.0,0.0713,21175.0,0.8214,4625.0,0.1794,25780.0,1.0,25780.0
Lara,Null,Null,7525.0,0.2877,7525.0,0.2877,7812.0,0.2986,636.0,0.0243,8498.0,0.3248,4160.0,0.159,122.0,0.0047,4331.0,0.1656,3495.0,0.1336,29.0,0.0011,3553.0,0.1358,1489.0,0.0569,4.0,0.0002,1515.0,0.0579,812.0,0.031,0.0,0.0,799.0,0.0305,17680.0,0.6758,8394.0,0.3209,26160.0,1.0,26160.0
Laverton,Null,Null,5713.0,0.1921,5713.0,0.1921,6871.0,0.231,865.0,0.0291,7750.0,0.2606,5819.0,0.1956,327.0,0.011,6133.0,0.2062,5520.0,0.1856,210.0,0.0071,5824.0,0.1958,2394.0,0.0805,70.0,0.0024,2513.0,0.0845,1787.0,0.0601,52.0,0.0017,1879.0,0.0632,22303.0,0.7499,7442.0,0.2502,29743.0,1.0,29743.0
Lowan,Null,Null,9314.0,0.3335,9314.0,0.3335,9691.0,0.3469,500.0,0.0179,10323.0,0.3696,3336.0,0.1194,36.0,0.0013,3402.0,0.1218,2794.0,0.1,4.0,0.0001,2823.0,0.1011,1427.0,0.0511,0.0,0.0,1438.0,0.0515,530.0,0.019,0.0,0.0,536.0,0.0192,17905.0,0.641,10009.0,0.3583,27932.0,1.0,27932.0
Macedon,Null,Null,5241.0,0.2246,5241.0,0.2246,8214.0,0.3519,344.0,0.0147,8612.0,0.369,3342.0,0.1432,13.0,0.0006,3403.0,0.1458,3883.0,0.1664,0.0,0.0,3886.0,0.1665,1581.0,0.0677,3.0,0.0001,1597.0,0.0684,557.0,0.0239,0.0,0.0,565.0,0.0242,17650.0,0.7562,5675.0,0.2431,23340.0,1.0,23340.0
Malvern,Null,Null,8522.0,0.3241,8522.0,0.3241,8022.0,0.3051,890.0,0.0338,8907.0,0.3388,3185.0,0.1211,277.0,0.0105,3491.0,0.1328,3503.0,0.1332,65.0,0.0025,3582.0,0.1362,1330.0,0.0506,12.0,0.0005,1369.0,0.0521,224.0,0.0085,4.0,0.0002,231.0,0.0088,16369.0,0.6226,9929.0,0.3776,26293.0,1.0,26293.0
Melbourne,Null,Null,23638.0,0.4318,23638.0,0.4318,15665.0,0.2861,5554.0,0.1014,21168.0,0.3867,4392.0,0.0802,1555.0,0.0284,5947.0,0.1086,2274.0,0.0415,564.0,0.0103,2867.0,0.0524,451.0,0.0082,126.0,0.0023,627.0,0.0115,203.0,0.0037,38.0,0.0007,267.0,0.0049,23045.0,0.4209,31696.0,0.579,54747.0,1.0,54747.0
Melton,Null,Null,5393.0,0.2023,5393.0,0.2023,6906.0,0.259,499.0,0.0187,7486.0,0.2808,4872.0,0.1828,47.0,0.0018,4941.0,0.1853,4772.0,0.179,0.0,0.0,4783.0,0.1794,2345.0,0.088,0.0,0.0,2355.0,0.0883,1706.0,0.064,0.0,0.0,1716.0,0.0644,20616.0,0.7733,6045.0,0.2268,26659.0,1.0,26659.0
Mildura,Null,Null,7620.0,0.2934,7620.0,0.2934,8577.0,0.3303,581.0,0.0224,9117.0,0.3511,3413.0,0.1314,109.0,0.0042,3526.0,0.1358,3080.0,0.1186,36.0,0.0014,3135.0,0.1207,1567.0,0.0603,7.0,0.0003,1596.0,0.0615,840.0,0.0323,22.0,0.0008,905.0,0.0349,17436.0,0.6714,8577.0,0.3303,25968.0,1.0,25968.0
Mill Park,Null,Null,3970.0,0.1747,3970.0,0.1747,6007.0,0.2644,348.0,0.0153,6443.0,0.2836,4359.0,0.1918,47.0,0.0021,4445.0,0.1956,4870.0,0.2143,14.0,0.0006,4907.0,0.216,1950.0,0.0858,0.0,0.0,1968.0,0.0866,891.0,0.0392,4.0,0.0002,905.0,0.0398,18183.0,0.8002,4503.0,0.1982,22722.0,1.0,22722.0
