district,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot,Tot_Tot_total
Monbulk,65.0,43.0,40.0,0.0,3.0,0.0,307.0,10.0,14.0,0.0,4.0,0.0,0.0,57.0,43.0,5.0,12.0,0.0,7.0,0.0,127.0,12.0,6.0,0.0,0.0,0.0,0.0,93.0,37.0,21.0,5.0,0.0,4.0,0.0,207.0,54.0,56.0,27.0,0.0,16.0,0.0,332.0,66.0,153.0,60.0,11.0,22.0,0.0,544.0,121.0,200.0,91.0,0.0,34.0,0.0,667.0,111.0,243.0,90.0,11.0,22.0,4.0,710.0,120.0,300.0,99.0,19.0,8.0,0.0,768.0,129.0,365.0,32.0,8.0,9.0,0.0,706.0,311.0,552.0,135.0,15.0,35.0,0.0,1239.0,137.0,364.0,21.0,8.0,0.0,0.0,635.0,116.0,204.0,21.0,4.0,0.0,0.0,490.0,207.0,504.0,81.0,10.0,8.0,0.0,950.0,232.0,533.0,99.0,11.0,4.0,0.0,1143.0,49.0,132.0,15.0,0.0,0.0,0.0,322.0,31.0,78.0,20.0,0.0,0.0,0.0,193.0,115.0,176.0,82.0,10.0,4.0,0.0,603.0,2883.0,4722.0,1837.0,510.0,643.0,15.0,10705.0,10705.0
Mordialloc,78.0,59.0,44.0,0.0,10.0,0.0,275.0,13.0,7.0,8.0,0.0,0.0,0.0,49.0,12.0,8.0,4.0,0.0,0.0,0.0,82.0,3.0,0.0,4.0,0.0,0.0,0.0,29.0,22.0,17.0,6.0,0.0,4.0,0.0,134.0,31.0,27.0,36.0,0.0,9.0,0.0,246.0,41.0,91.0,45.0,7.0,10.0,0.0,345.0,46.0,120.0,49.0,3.0,3.0,0.0,410.0,56.0,135.0,47.0,8.0,9.0,0.0,510.0,88.0,191.0,46.0,16.0,3.0,6.0,533.0,46.0,205.0,37.0,10.0,7.0,0.0,465.0,220.0,507.0,135.0,16.0,13.0,0.0,1101.0,90.0,272.0,27.0,9.0,9.0,0.0,522.0,97.0,281.0,25.0,5.0,5.0,0.0,577.0,218.0,534.0,87.0,14.0,9.0,0.0,993.0,365.0,1060.0,209.0,15.0,22.0,0.0,1837.0,114.0,389.0,62.0,0.0,0.0,0.0,678.0,49.0,239.0,54.0,6.0,3.0,0.0,489.0,80.0,216.0,72.0,11.0,17.0,0.0,608.0,2237.0,5105.0,1793.0,456.0,587.0,29.0,10372.0,10372.0
Mornington,98.0,21.0,31.0,0.0,5.0,0.0,297.0,10.0,0.0,8.0,0.0,0.0,0.0,25.0,10.0,3.0,10.0,0.0,3.0,0.0,68.0,12.0,0.0,0.0,0.0,0.0,0.0,49.0,36.0,5.0,9.0,0.0,3.0,0.0,94.0,29.0,23.0,9.0,3.0,19.0,0.0,192.0,46.0,59.0,33.0,6.0,15.0,0.0,281.0,62.0,53.0,41.0,3.0,15.0,0.0,316.0,29.0,152.0,60.0,6.0,6.0,0.0,375.0,55.0,162.0,56.0,21.0,17.0,0.0,485.0,42.0,134.0,43.0,10.0,9.0,0.0,417.0,116.0,359.0,142.0,11.0,4.0,0.0,846.0,50.0,205.0,42.0,3.0,0.0,0.0,412.0,42.0,212.0,25.0,0.0,0.0,0.0,391.0,95.0,470.0,78.0,12.0,0.0,0.0,799.0,177.0,786.0,196.0,19.0,3.0,0.0,1297.0,73.0,269.0,87.0,3.0,0.0,0.0,517.0,78.0,259.0,57.0,9.0,0.0,0.0,520.0,76.0,140.0,71.0,6.0,3.0,0.0,446.0,1877.0,3952.0,1609.0,363.0,420.0,17.0,8360.0,8360.0
Morwell,80.0,16.0,19.0,0.0,16.0,0.0,203.0,3.0,7.0,0.0,5.0,0.0,0.0,40.0,35.0,11.0,3.0,5.0,9.0,0.0,172.0,69.0,16.0,0.0,6.0,0.0,0.0,167.0,151.0,148.0,28.0,32.0,48.0,0.0,571.0,175.0,274.0,42.0,59.0,42.0,0.0,806.0,264.0,263.0,74.0,31.0,34.0,0.0,850.0,243.0,330.0,83.0,33.0,19.0,0.0,866.0,150.0,297.0,37.0,19.0,7.0,0.0,698.0,140.0,236.0,44.0,6.0,6.0,0.0,575.0,20.0,164.0,13.0,0.0,0.0,0.0,294.0,102.0,212.0,40.0,4.0,0.0,0.0,471.0,4.0,26.0,3.0,0.0,0.0,0.0,87.0,1.0,34.0,3.0,0.0,0.0,0.0,80.0,30.0,93.0,21.0,0.0,3.0,0.0,212.0,27.0,110.0,11.0,0.0,0.0,0.0,178.0,11.0,33.0,9.0,0.0,0.0,0.0,93.0,5.0,10.0,0.0,0.0,0.0,0.0,36.0,132.0,141.0,36.0,0.0,4.0,0.0,465.0,2278.0,3045.0,1036.0,526.0,549.0,12.0,7536.0,7536.0
Mulgrave,48.0,35.0,39.0,0.0,14.0,0.0,309.0,8.0,0.0,3.0,0.0,0.0,0.0,29.0,4.0,4.0,6.0,3.0,0.0,0.0,58.0,9.0,7.0,0.0,4.0,0.0,0.0,37.0,7.0,0.0,17.0,0.0,5.0,3.0,105.0,38.0,14.0,14.0,4.0,0.0,0.0,191.0,17.0,75.0,34.0,0.0,6.0,0.0,318.0,68.0,85.0,58.0,4.0,16.0,0.0,388.0,11.0,107.0,55.0,6.0,10.0,0.0,369.0,43.0,116.0,35.0,0.0,6.0,0.0,427.0,48.0,126.0,22.0,3.0,10.0,0.0,350.0,124.0,307.0,69.0,12.0,15.0,0.0,725.0,57.0,133.0,9.0,4.0,0.0,0.0,318.0,63.0,152.0,17.0,3.0,6.0,0.0,358.0,68.0,173.0,21.0,0.0,8.0,0.0,459.0,142.0,498.0,83.0,10.0,11.0,0.0,982.0,28.0,167.0,7.0,0.0,0.0,0.0,291.0,19.0,62.0,4.0,4.0,0.0,0.0,177.0,51.0,137.0,67.0,0.0,10.0,0.0,513.0,1635.0,3168.0,1400.0,297.0,537.0,45.0,7212.0,7212.0
Murray Plains,33.0,36.0,18.0,0.0,0.0,0.0,191.0,6.0,0.0,0.0,0.0,0.0,0.0,24.0,32.0,12.0,0.0,3.0,7.0,0.0,118.0,39.0,22.0,4.0,0.0,0.0,0.0,142.0,120.0,107.0,21.0,11.0,8.0,0.0,466.0,142.0,158.0,45.0,27.0,25.0,0.0,609.0,142.0,255.0,35.0,30.0,3.0,0.0,726.0,142.0,305.0,65.0,13.0,15.0,0.0,694.0,95.0,269.0,21.0,14.0,0.0,0.0,577.0,118.0,214.0,26.0,11.0,3.0,0.0,523.0,44.0,126.0,12.0,0.0,0.0,0.0,240.0,112.0,152.0,56.0,0.0,0.0,0.0,431.0,11.0,26.0,3.0,0.0,0.0,0.0,69.0,0.0,10.0,0.0,0.0,0.0,0.0,17.0,12.0,50.0,15.0,3.0,0.0,0.0,115.0,27.0,47.0,9.0,0.0,0.0,0.0,151.0,0.0,19.0,0.0,0.0,0.0,0.0,30.0,0.0,16.0,3.0,0.0,0.0,0.0,48.0,72.0,67.0,39.0,10.0,3.0,0.0,380.0,1973.0,2610.0,989.0,345.0,303.0,18.0,6330.0,6330.0
Narracan,33.0,14.0,9.0,0.0,0.0,0.0,167.0,3.0,0.0,0.0,0.0,0.0,0.0,26.0,19.0,2.0,3.0,0.0,0.0,0.0,81.0,26.0,6.0,13.0,0.0,0.0,0.0,92.0,63.0,39.0,12.0,14.0,7.0,0.0,251.0,81.0,75.0,32.0,5.0,11.0,0.0,393.0,126.0,165.0,36.0,14.0,18.0,4.0,553.0,196.0,261.0,45.0,28.0,17.0,0.0,788.0,187.0,366.0,32.0,21.0,18.0,0.0,830.0,227.0,410.0,67.0,19.0,14.0,0.0,916.0,147.0,308.0,35.0,8.0,4.0,0.0,661.0,224.0,398.0,116.0,19.0,3.0,3.0,907.0,71.0,138.0,10.0,0.0,3.0,0.0,303.0,36.0,136.0,7.0,0.0,0.0,0.0,224.0,78.0,232.0,47.0,5.0,0.0,0.0,436.0,78.0,245.0,27.0,6.0,0.0,0.0,503.0,25.0,39.0,3.0,0.0,0.0,0.0,146.0,13.0,39.0,3.0,0.0,0.0,0.0,108.0,99.0,160.0,38.0,12.0,6.0,0.0,479.0,2579.0,3770.0,1287.0,462.0,407.0,20.0,8605.0,8605.0
Narre Warren North,74.0,55.0,68.0,3.0,11.0,0.0,371.0,5.0,0.0,4.0,0.0,0.0,0.0,24.0,0.0,3.0,7.0,0.0,0.0,0.0,96.0,12.0,4.0,10.0,0.0,3.0,0.0,97.0,25.0,8.0,33.0,5.0,7.0,0.0,263.0,50.0,24.0,63.0,3.0,11.0,0.0,321.0,41.0,131.0,61.0,3.0,6.0,0.0,518.0,71.0,190.0,79.0,23.0,21.0,0.0,621.0,156.0,268.0,97.0,10.0,14.0,0.0,793.0,114.0,365.0,119.0,13.0,38.0,0.0,907.0,120.0,326.0,61.0,15.0,19.0,0.0,732.0,234.0,583.0,186.0,13.0,26.0,6.0,1303.0,89.0,276.0,25.0,0.0,7.0,0.0,602.0,93.0,188.0,50.0,4.0,0.0,0.0,441.0,53.0,274.0,85.0,0.0,0.0,0.0,621.0,95.0,330.0,99.0,0.0,7.0,0.0,756.0,26.0,56.0,47.0,0.0,0.0,0.0,260.0,17.0,81.0,36.0,0.0,0.0,0.0,206.0,147.0,222.0,170.0,14.0,16.0,0.0,769.0,2476.0,4342.0,2260.0,434.0,680.0,34.0,10273.0,10273.0
Narre Warren South,47.0,64.0,51.0,5.0,7.0,0.0,379.0,3.0,0.0,0.0,0.0,0.0,0.0,36.0,28.0,20.0,26.0,3.0,4.0,0.0,123.0,7.0,11.0,15.0,0.0,0.0,0.0,103.0,24.0,31.0,26.0,0.0,3.0,0.0,252.0,34.0,61.0,59.0,13.0,9.0,0.0,414.0,79.0,153.0,89.0,0.0,50.0,0.0,675.0,114.0,353.0,162.0,9.0,37.0,0.0,945.0,143.0,485.0,173.0,30.0,56.0,0.0,1170.0,202.0,639.0,171.0,31.0,26.0,0.0,1363.0,151.0,718.0,119.0,11.0,6.0,0.0,1234.0,276.0,1012.0,286.0,21.0,12.0,0.0,1904.0,100.0,481.0,89.0,4.0,4.0,0.0,882.0,66.0,329.0,54.0,3.0,6.0,3.0,654.0,81.0,427.0,110.0,7.0,0.0,4.0,768.0,94.0,337.0,153.0,16.0,15.0,0.0,750.0,21.0,66.0,33.0,0.0,0.0,0.0,246.0,0.0,62.0,16.0,4.0,0.0,0.0,150.0,91.0,317.0,111.0,20.0,37.0,0.0,874.0,2506.0,6463.0,2870.0,638.0,795.0,64.0,13463.0,13463.0
Nepean,102.0,3.0,8.0,0.0,8.0,0.0,186.0,14.0,5.0,0.0,0.0,0.0,0.0,21.0,25.0,5.0,3.0,0.0,8.0,0.0,60.0,25.0,0.0,5.0,0.0,0.0,0.0,68.0,35.0,13.0,0.0,0.0,0.0,0.0,95.0,61.0,19.0,15.0,3.0,3.0,0.0,147.0,55.0,39.0,8.0,4.0,4.0,0.0,271.0,72.0,51.0,15.0,9.0,29.0,0.0,335.0,72.0,72.0,25.0,12.0,4.0,0.0,369.0,86.0,129.0,17.0,11.0,6.0,0.0,431.0,88.0,113.0,0.0,3.0,0.0,0.0,324.0,184.0,239.0,43.0,5.0,3.0,0.0,660.0,27.0,130.0,7.0,0.0,4.0,0.0,233.0,44.0,64.0,4.0,0.0,0.0,0.0,207.0,84.0,180.0,46.0,6.0,0.0,0.0,384.0,149.0,180.0,32.0,0.0,0.0,0.0,549.0,46.0,58.0,10.0,0.0,0.0,0.0,206.0,56.0,49.0,27.0,0.0,0.0,0.0,227.0,91.0,71.0,19.0,3.0,6.0,0.0,308.0,2030.0,2087.0,894.0,279.0,332.0,19.0,5764.0,5764.0
Niddrie,50.0,45.0,39.0,0.0,3.0,0.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,8.0,3.0,0.0,3.0,0.0,85.0,7.0,0.0,4.0,0.0,0.0,0.0,56.0,18.0,10.0,9.0,0.0,0.0,0.0,76.0,6.0,6.0,18.0,0.0,0.0,0.0,143.0,20.0,60.0,46.0,0.0,0.0,0.0,267.0,21.0,81.0,43.0,16.0,16.0,0.0,264.0,17.0,80.0,45.0,6.0,4.0,0.0,320.0,40.0,136.0,39.0,6.0,10.0,3.0,354.0,38.0,77.0,19.0,0.0,7.0,0.0,317.0,83.0,335.0,98.0,17.0,8.0,0.0,753.0,43.0,104.0,12.0,3.0,0.0,0.0,281.0,65.0,127.0,13.0,0.0,0.0,0.0,347.0,94.0,368.0,32.0,6.0,3.0,0.0,621.0,168.0,681.0,129.0,19.0,8.0,0.0,1158.0,27.0,251.0,51.0,5.0,0.0,0.0,410.0,28.0,220.0,38.0,0.0,0.0,0.0,387.0,73.0,224.0,125.0,3.0,4.0,0.0,590.0,1529.0,3661.0,1516.0,300.0,421.0,3.0,7495.0,7495.0
Northcote,51.0,55.0,37.0,3.0,0.0,0.0,240.0,7.0,7.0,0.0,0.0,0.0,0.0,27.0,4.0,0.0,5.0,0.0,0.0,0.0,50.0,0.0,11.0,5.0,0.0,0.0,0.0,41.0,12.0,4.0,10.0,0.0,0.0,0.0,50.0,3.0,18.0,7.0,0.0,0.0,0.0,120.0,37.0,30.0,11.0,0.0,0.0,0.0,186.0,51.0,35.0,16.0,0.0,0.0,0.0,213.0,37.0,64.0,19.0,0.0,0.0,0.0,233.0,45.0,66.0,14.0,10.0,8.0,0.0,274.0,18.0,78.0,0.0,0.0,0.0,0.0,207.0,137.0,204.0,39.0,17.0,7.0,0.0,555.0,30.0,72.0,3.0,0.0,0.0,0.0,220.0,35.0,87.0,11.0,0.0,0.0,0.0,231.0,118.0,244.0,16.0,8.0,5.0,0.0,471.0,283.0,597.0,67.0,23.0,8.0,0.0,1084.0,83.0,360.0,15.0,0.0,0.0,0.0,608.0,106.0,442.0,27.0,8.0,0.0,0.0,698.0,41.0,93.0,29.0,0.0,4.0,0.0,302.0,1754.0,3179.0,872.0,323.0,247.0,7.0,6529.0,6529.0
Oakleigh,33.0,98.0,29.0,5.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,9.0,0.0,0.0,0.0,0.0,45.0,27.0,6.0,10.0,0.0,7.0,0.0,112.0,0.0,27.0,18.0,0.0,0.0,0.0,156.0,44.0,19.0,16.0,5.0,11.0,0.0,247.0,48.0,41.0,10.0,0.0,5.0,0.0,281.0,52.0,82.0,6.0,0.0,0.0,3.0,266.0,65.0,92.0,12.0,7.0,6.0,0.0,378.0,87.0,71.0,18.0,3.0,6.0,0.0,331.0,117.0,242.0,62.0,5.0,8.0,0.0,658.0,44.0,143.0,9.0,3.0,0.0,0.0,323.0,88.0,155.0,17.0,0.0,6.0,4.0,370.0,148.0,217.0,25.0,4.0,15.0,0.0,592.0,346.0,679.0,105.0,3.0,4.0,0.0,1324.0,85.0,328.0,41.0,0.0,0.0,0.0,605.0,44.0,280.0,12.0,0.0,3.0,0.0,464.0,72.0,164.0,28.0,3.0,8.0,4.0,444.0,2143.0,3574.0,1195.0,293.0,368.0,37.0,7894.0,7894.0
Ovens Valley,50.0,3.0,13.0,0.0,0.0,0.0,168.0,7.0,0.0,0.0,0.0,3.0,0.0,28.0,40.0,7.0,3.0,0.0,0.0,0.0,118.0,27.0,9.0,0.0,0.0,0.0,0.0,113.0,35.0,33.0,15.0,23.0,13.0,0.0,287.0,121.0,117.0,23.0,11.0,20.0,0.0,507.0,121.0,169.0,41.0,21.0,5.0,0.0,620.0,149.0,259.0,50.0,32.0,18.0,0.0,686.0,156.0,256.0,34.0,24.0,0.0,3.0,638.0,143.0,244.0,33.0,27.0,3.0,0.0,596.0,48.0,138.0,12.0,9.0,0.0,0.0,287.0,133.0,225.0,29.0,6.0,6.0,0.0,513.0,13.0,47.0,0.0,0.0,0.0,0.0,84.0,0.0,9.0,0.0,0.0,0.0,0.0,25.0,41.0,83.0,17.0,0.0,5.0,0.0,199.0,49.0,74.0,9.0,0.0,3.0,0.0,222.0,10.0,14.0,0.0,0.0,0.0,0.0,86.0,3.0,20.0,5.0,0.0,0.0,0.0,48.0,74.0,69.0,24.0,0.0,7.0,0.0,331.0,2039.0,2571.0,922.0,412.0,274.0,10.0,6244.0,6244.0
Pakenham,39.0,12.0,14.0,4.0,3.0,0.0,164.0,5.0,3.0,0.0,0.0,0.0,0.0,25.0,11.0,6.0,8.0,0.0,0.0,0.0,68.0,0.0,5.0,7.0,0.0,0.0,0.0,63.0,6.0,8.0,7.0,0.0,5.0,0.0,104.0,35.0,36.0,19.0,7.0,30.0,0.0,239.0,44.0,130.0,34.0,26.0,20.0,0.0,430.0,143.0,346.0,43.0,28.0,63.0,0.0,771.0,189.0,502.0,69.0,51.0,41.0,0.0,1029.0,305.0,726.0,62.0,48.0,43.0,0.0,1338.0,283.0,685.0,69.0,20.0,19.0,0.0,1223.0,357.0,876.0,127.0,26.0,12.0,0.0,1629.0,190.0,444.0,56.0,4.0,8.0,0.0,844.0,90.0,253.0,20.0,11.0,0.0,0.0,482.0,110.0,357.0,78.0,3.0,5.0,0.0,670.0,123.0,304.0,54.0,8.0,10.0,0.0,600.0,17.0,50.0,8.0,4.0,0.0,0.0,154.0,8.0,51.0,4.0,0.0,0.0,0.0,134.0,108.0,258.0,39.0,6.0,7.0,5.0,630.0,2823.0,5614.0,1366.0,616.0,634.0,31.0,11222.0,11222.0
Pascoe Vale,22.0,31.0,38.0,0.0,9.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,0.0,0.0,0.0,3.0,0.0,45.0,0.0,4.0,3.0,0.0,0.0,0.0,36.0,11.0,10.0,12.0,0.0,0.0,0.0,93.0,8.0,36.0,34.0,0.0,11.0,0.0,157.0,11.0,52.0,17.0,13.0,5.0,0.0,234.0,50.0,70.0,19.0,3.0,5.0,0.0,292.0,47.0,83.0,28.0,4.0,0.0,0.0,356.0,79.0,125.0,25.0,3.0,6.0,0.0,368.0,80.0,119.0,19.0,8.0,0.0,0.0,325.0,177.0,351.0,39.0,21.0,12.0,0.0,780.0,77.0,149.0,9.0,4.0,0.0,0.0,341.0,110.0,142.0,0.0,0.0,0.0,0.0,355.0,143.0,332.0,35.0,3.0,0.0,0.0,682.0,317.0,751.0,59.0,4.0,11.0,0.0,1274.0,78.0,283.0,19.0,3.0,4.0,0.0,467.0,26.0,137.0,16.0,0.0,0.0,0.0,271.0,54.0,114.0,44.0,3.0,0.0,0.0,402.0,1996.0,3574.0,941.0,350.0,325.0,16.0,7320.0,7320.0
Point Cook,55.0,117.0,57.0,0.0,7.0,0.0,376.0,5.0,0.0,7.0,5.0,0.0,0.0,28.0,6.0,5.0,16.0,0.0,0.0,0.0,80.0,11.0,7.0,0.0,0.0,0.0,0.0,63.0,17.0,32.0,7.0,0.0,0.0,0.0,164.0,24.0,56.0,18.0,0.0,12.0,0.0,243.0,28.0,148.0,29.0,4.0,12.0,0.0,378.0,53.0,226.0,43.0,0.0,6.0,0.0,517.0,66.0,363.0,56.0,21.0,12.0,0.0,725.0,102.0,505.0,72.0,15.0,14.0,0.0,903.0,115.0,610.0,20.0,6.0,10.0,0.0,946.0,285.0,1030.0,146.0,23.0,25.0,0.0,1747.0,133.0,597.0,25.0,4.0,0.0,0.0,940.0,101.0,529.0,32.0,0.0,0.0,0.0,880.0,138.0,669.0,65.0,0.0,7.0,0.0,1144.0,192.0,801.0,119.0,3.0,15.0,4.0,1320.0,30.0,166.0,13.0,0.0,0.0,0.0,306.0,22.0,163.0,13.0,3.0,0.0,0.0,284.0,104.0,396.0,86.0,4.0,9.0,0.0,772.0,2445.0,7174.0,1673.0,506.0,543.0,49.0,12554.0,12554.0
Polwarth,51.0,43.0,19.0,0.0,0.0,0.0,229.0,12.0,0.0,0.0,0.0,0.0,0.0,40.0,31.0,12.0,0.0,0.0,0.0,0.0,134.0,23.0,21.0,0.0,0.0,0.0,0.0,118.0,66.0,35.0,11.0,9.0,3.0,0.0,190.0,85.0,100.0,53.0,0.0,15.0,0.0,429.0,92.0,161.0,27.0,0.0,10.0,4.0,551.0,102.0,242.0,47.0,6.0,21.0,0.0,570.0,107.0,187.0,18.0,12.0,14.0,0.0,518.0,112.0,250.0,39.0,7.0,3.0,0.0,586.0,38.0,173.0,16.0,0.0,4.0,0.0,371.0,109.0,327.0,37.0,0.0,0.0,0.0,632.0,37.0,144.0,20.0,0.0,0.0,0.0,231.0,49.0,134.0,17.0,4.0,0.0,0.0,250.0,95.0,325.0,22.0,19.0,0.0,0.0,527.0,138.0,350.0,70.0,6.0,4.0,0.0,658.0,39.0,95.0,12.0,3.0,0.0,0.0,225.0,36.0,106.0,2.0,0.0,0.0,0.0,199.0,83.0,136.0,29.0,0.0,20.0,0.0,397.0,2141.0,3617.0,1129.0,320.0,325.0,4.0,7535.0,7535.0
Prahran,37.0,14.0,3.0,3.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,4.0,0.0,0.0,0.0,0.0,13.0,10.0,0.0,0.0,0.0,3.0,0.0,22.0,33.0,0.0,0.0,0.0,3.0,0.0,56.0,74.0,12.0,0.0,0.0,0.0,3.0,106.0,85.0,4.0,0.0,6.0,0.0,0.0,143.0,85.0,26.0,0.0,0.0,0.0,0.0,193.0,107.0,13.0,0.0,0.0,0.0,0.0,154.0,177.0,36.0,5.0,8.0,0.0,3.0,343.0,81.0,13.0,0.0,0.0,0.0,0.0,137.0,56.0,12.0,0.0,0.0,0.0,0.0,124.0,113.0,30.0,0.0,6.0,0.0,0.0,236.0,222.0,141.0,19.0,0.0,0.0,0.0,573.0,99.0,89.0,9.0,0.0,0.0,0.0,347.0,146.0,240.0,29.0,12.0,0.0,0.0,581.0,60.0,23.0,12.0,0.0,3.0,0.0,204.0,2265.0,1196.0,308.0,131.0,141.0,30.0,4277.0,4277.0
Preston,13.0,34.0,8.0,0.0,4.0,0.0,156.0,0.0,0.0,4.0,0.0,0.0,0.0,19.0,6.0,0.0,4.0,0.0,0.0,0.0,46.0,0.0,0.0,3.0,0.0,0.0,0.0,32.0,3.0,27.0,9.0,0.0,10.0,0.0,94.0,21.0,23.0,14.0,0.0,0.0,0.0,169.0,18.0,56.0,26.0,4.0,13.0,0.0,244.0,72.0,88.0,25.0,0.0,12.0,0.0,290.0,59.0,110.0,7.0,8.0,10.0,0.0,354.0,91.0,133.0,10.0,11.0,0.0,0.0,427.0,97.0,96.0,15.0,6.0,0.0,0.0,332.0,214.0,259.0,56.0,0.0,4.0,0.0,671.0,92.0,132.0,0.0,0.0,4.0,0.0,340.0,78.0,131.0,15.0,0.0,3.0,0.0,352.0,165.0,264.0,10.0,4.0,4.0,0.0,614.0,182.0,433.0,40.0,4.0,8.0,0.0,878.0,34.0,115.0,7.0,0.0,0.0,0.0,255.0,19.0,62.0,3.0,0.0,0.0,0.0,189.0,57.0,154.0,40.0,0.0,4.0,0.0,417.0,1931.0,2975.0,881.0,286.0,391.0,11.0,6590.0,6590.0
