district,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_NonFamHhold_pc,Num_Psns_UR_1_Total,Num_Psns_UR_1_Total_pc,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_FamHhold_pc,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_NonFamHhold_pc,Num_Psns_UR_2_Total,Num_Psns_UR_2_Total_pc,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_FamHhold_pc,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_NonFamHhold_pc,Num_Psns_UR_3_Total,Num_Psns_UR_3_Total_pc,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_FamHhold_pc,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_NonFamHhold_pc,Num_Psns_UR_4_Total,Num_Psns_UR_4_Total_pc,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_FamHhold_pc,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_NonFamHhold_pc,Num_Psns_UR_5_Total,Num_Psns_UR_5_Total_pc,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_FamHhold_pc,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_NonFamHhold_pc,Num_Psns_UR_6mo_Total,Num_Psns_UR_6mo_Total_pc,Total_FamHhold,Total_FamHhold_pc,Total_NonFamHhold,Total_NonFamHhold_pc,Total_Total,Total_Total_pc,Total_Total_total
Morwell,79.0,80.0,79.0,80.0,74.0,67.0,67.0,65.0,74.0,63.0,32.0,22.0,6.0,5.0,25.0,17.0,21.0,17.0,10.0,10.0,21.0,14.0,19.0,15.0,25.0,25.0,18.0,15.0,48.0,40.0,33.0,33.0,51.0,39.0,41.0,18.0,73.0,70.0,71.0,54.0,71.0
Mulgrave,30.0,28.0,30.0,28.0,24.0,21.0,60.0,62.0,27.0,25.0,63.0,61.0,65.0,65.0,68.0,69.0,51.0,50.0,72.0,74.0,53.0,54.0,60.0,58.0,82.0,83.0,62.0,59.0,70.0,71.0,82.0,83.0,70.0,71.0,56.0,53.0,37.0,36.0,45.0,55.0,45.0
Murray Plains,56.0,63.0,56.0,63.0,69.0,81.0,37.0,44.0,63.0,80.0,6.0,15.0,28.0,29.0,5.0,11.0,10.0,12.0,26.0,23.0,8.0,11.0,27.0,39.0,26.0,26.0,27.0,37.0,55.0,56.0,34.0,34.0,54.0,55.0,9.0,29.0,54.0,59.0,21.0,56.0,21.0
Narracan,38.0,41.0,38.0,41.0,59.0,76.0,11.0,12.0,53.0,70.0,25.0,34.0,3.0,3.0,19.0,30.0,26.0,35.0,19.0,21.0,24.0,33.0,47.0,56.0,61.0,63.0,46.0,54.0,62.0,64.0,35.0,35.0,62.0,63.0,39.0,54.0,31.0,35.0,17.0,57.0,17.0
Narre Warren North,13.0,13.0,13.0,13.0,19.0,25.0,24.0,25.0,20.0,23.0,68.0,74.0,36.0,36.0,65.0,73.0,64.0,67.0,55.0,55.0,63.0,65.0,74.0,76.0,43.0,44.0,74.0,76.0,77.0,77.0,36.0,36.0,77.0,77.0,69.0,74.0,14.0,15.0,32.0,58.0,32.0
Narre Warren South,3.0,2.0,3.0,2.0,3.0,2.0,12.0,11.0,3.0,2.0,82.0,83.0,37.0,38.0,77.0,83.0,83.0,83.0,41.0,40.0,83.0,83.0,87.0,86.0,27.0,27.0,87.0,86.0,88.0,87.0,37.0,37.0,88.0,87.0,83.0,86.0,4.0,3.0,42.0,59.0,42.0
Nepean,60.0,72.0,60.0,72.0,83.0,88.0,34.0,42.0,78.0,88.0,4.0,8.0,18.0,17.0,3.0,6.0,6.0,8.0,23.0,24.0,5.0,7.0,6.0,8.0,28.0,28.0,6.0,6.0,10.0,12.0,38.0,38.0,10.0,10.0,7.0,22.0,56.0,67.0,20.0,60.0,20.0
Niddrie,28.0,32.0,28.0,32.0,38.0,52.0,26.0,27.0,30.0,35.0,54.0,58.0,14.0,14.0,50.0,57.0,58.0,63.0,20.0,22.0,58.0,62.0,44.0,49.0,29.0,29.0,44.0,49.0,26.0,31.0,39.0,39.0,25.0,30.0,52.0,63.0,27.0,26.0,28.0,61.0,28.0
Northcote,76.0,75.0,76.0,75.0,35.0,23.0,79.0,80.0,47.0,33.0,30.0,25.0,84.0,85.0,48.0,39.0,32.0,30.0,84.0,84.0,40.0,35.0,7.0,7.0,76.0,77.0,7.0,8.0,7.0,6.0,40.0,40.0,8.0,7.0,6.0,6.0,81.0,83.0,62.0,62.0,62.0
Oakleigh,82.0,57.0,82.0,57.0,80.0,26.0,83.0,81.0,84.0,41.0,83.0,42.0,83.0,84.0,85.0,55.0,65.0,36.0,86.0,86.0,71.0,40.0,30.0,9.0,88.0,88.0,43.0,14.0,24.0,15.0,88.0,88.0,31.0,18.0,79.0,12.0,83.0,77.0,85.0,63.0,85.0
