district,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_0_4_pc,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_5_9_pc,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_10_12_pc,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_13_14_pc,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_15_17_pc,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_18_20_pc,CF_C_BPBO_DC_21_24,CF_C_BPBO_DC_21_24_pc,CF_C_BPBO_Tot,CF_C_BPBO_Tot_pc,CF_C_FBO_DC_0_4,CF_C_FBO_DC_0_4_pc,CF_C_FBO_DC_5_9,CF_C_FBO_DC_5_9_pc,CF_C_FBO_DC_10_12,CF_C_FBO_DC_10_12_pc,CF_C_FBO_DC_13_14,CF_C_FBO_DC_13_14_pc,CF_C_FBO_DC_15_17,CF_C_FBO_DC_15_17_pc,CF_C_FBO_DC_18_20,CF_C_FBO_DC_18_20_pc,CF_C_FBO_DC_21_24,CF_C_FBO_DC_21_24_pc,CF_C_FBO_Tot,CF_C_FBO_Tot_pc,CF_C_MBO_DC_0_4,CF_C_MBO_DC_0_4_pc,CF_C_MBO_DC_5_9,CF_C_MBO_DC_5_9_pc,CF_C_MBO_DC_10_12,CF_C_MBO_DC_10_12_pc,CF_C_MBO_DC_13_14,CF_C_MBO_DC_13_14_pc,CF_C_MBO_DC_15_17,CF_C_MBO_DC_15_17_pc,CF_C_MBO_DC_18_20,CF_C_MBO_DC_18_20_pc,CF_C_MBO_DC_21_24,CF_C_MBO_DC_21_24_pc,CF_C_MBO_Tot,CF_C_MBO_Tot_pc,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_0_4_pc,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_5_9_pc,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_10_12_pc,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_13_14_pc,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_15_17_pc,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_18_20_pc,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_DC_21_24_pc,CF_C_BPBAu_Tot,CF_C_BPBAu_Tot_pc,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_0_4_pc,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_5_9_pc,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_10_12_pc,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_13_14_pc,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_15_17_pc,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_18_20_pc,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_DC_21_24_pc,CF_C_BP_NS_Tot,CF_C_BP_NS_Tot_pc,CF_C_Tot_DC_0_4,CF_C_Tot_DC_0_4_pc,CF_C_Tot_DC_5_9,CF_C_Tot_DC_5_9_pc,CF_C_Tot_DC_10_12,CF_C_Tot_DC_10_12_pc,CF_C_Tot_DC_13_14,CF_C_Tot_DC_13_14_pc,CF_C_Tot_DC_15_17,CF_C_Tot_DC_15_17_pc,CF_C_Tot_DC_18_20,CF_C_Tot_DC_18_20_pc,CF_C_Tot_DC_21_24,CF_C_Tot_DC_21_24_pc,CF_C_Tot_Tot,CF_C_Tot_Tot_pc,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_0_4_pc,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_5_9_pc,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_10_12_pc,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_13_14_pc,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_15_17_pc,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_18_20_pc,One_PF_BPBO_DC_21_24,One_PF_BPBO_DC_21_24_pc,One_PF_BPBO_Tot,One_PF_BPBO_Tot_pc,One_PF_FBO_DC_0_4,One_PF_FBO_DC_0_4_pc,One_PF_FBO_DC_5_9,One_PF_FBO_DC_5_9_pc,One_PF_FBO_DC_10_12,One_PF_FBO_DC_10_12_pc,One_PF_FBO_DC_13_14,One_PF_FBO_DC_13_14_pc,One_PF_FBO_DC_15_17,One_PF_FBO_DC_15_17_pc,One_PF_FBO_DC_18_20,One_PF_FBO_DC_18_20_pc,One_PF_FBO_DC_21_24,One_PF_FBO_DC_21_24_pc,One_PF_FBO_Tot,One_PF_FBO_Tot_pc,One_PF_MBO_DC_0_4,One_PF_MBO_DC_0_4_pc,One_PF_MBO_DC_5_9,One_PF_MBO_DC_5_9_pc,One_PF_MBO_DC_10_12,One_PF_MBO_DC_10_12_pc,One_PF_MBO_DC_13_14,One_PF_MBO_DC_13_14_pc,One_PF_MBO_DC_15_17,One_PF_MBO_DC_15_17_pc,One_PF_MBO_DC_18_20,One_PF_MBO_DC_18_20_pc,One_PF_MBO_DC_21_24,One_PF_MBO_DC_21_24_pc,One_PF_MBO_Tot,One_PF_MBO_Tot_pc,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_0_4_pc,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_5_9_pc,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_10_12_pc,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_13_14_pc,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_15_17_pc,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_18_20_pc,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_DC_21_24_pc,One_PF_BPBAu_Tot,One_PF_BPBAu_Tot_pc,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_0_4_pc,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_5_9_pc,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_10_12_pc,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_13_14_pc,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_15_17_pc,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_18_20_pc,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_DC_21_24_pc,One_PF_BP_NS_Tot,One_PF_BP_NS_Tot_pc,One_PF_Tot_DC_0_4,One_PF_Tot_DC_0_4_pc,One_PF_Tot_DC_5_9,One_PF_Tot_DC_5_9_pc,One_PF_Tot_DC_10_12,One_PF_Tot_DC_10_12_pc,One_PF_Tot_DC_13_14,One_PF_Tot_DC_13_14_pc,One_PF_Tot_DC_15_17,One_PF_Tot_DC_15_17_pc,One_PF_Tot_DC_18_20,One_PF_Tot_DC_18_20_pc,One_PF_Tot_DC_21_24,One_PF_Tot_DC_21_24_pc,One_PF_Tot_Tot,One_PF_Tot_Tot_pc,Tot_DC_0_4,Tot_DC_0_4_pc,Tot_DC_5_9,Tot_DC_5_9_pc,Tot_DC_10_12,Tot_DC_10_12_pc,Tot_DC_13_14,Tot_DC_13_14_pc,Tot_DC_15_17,Tot_DC_15_17_pc,Tot_DC_18_20,Tot_DC_18_20_pc,Tot_DC_21_24,Tot_DC_21_24_pc,Tot_Tot,Tot_Tot_pc,Tot_Tot_total
Croydon,1003.0,0.0601,962.0,0.0577,439.0,0.0263,218.0,0.0131,274.0,0.0164,149.0,0.0089,56.0,0.0034,3421.0,0.2051,280.0,0.0168,260.0,0.0156,111.0,0.0067,31.0,0.0019,44.0,0.0026,28.0,0.0017,9.0,0.0005,967.0,0.058,312.0,0.0187,270.0,0.0162,113.0,0.0068,42.0,0.0025,58.0,0.0035,26.0,0.0016,0.0,0.0,1048.0,0.0628,2467.0,0.1479,2134.0,0.1279,1212.0,0.0726,738.0,0.0442,988.0,0.0592,394.0,0.0236,205.0,0.0123,8255.0,0.4948,0.0,0.0,15.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0014,4142.0,0.2483,3726.0,0.2233,1975.0,0.1184,1224.0,0.0734,1475.0,0.0884,734.0,0.044,372.0,0.0223,13729.0,0.8229,37.0,0.0022,59.0,0.0035,30.0,0.0018,23.0,0.0014,35.0,0.0021,15.0,0.0009,18.0,0.0011,413.0,0.0248,28.0,0.0017,49.0,0.0029,6.0,0.0004,5.0,0.0003,26.0,0.0016,5.0,0.0003,0.0,0.0,306.0,0.0183,5.0,0.0003,11.0,0.0007,22.0,0.0013,8.0,0.0005,21.0,0.0013,4.0,0.0002,3.0,0.0002,163.0,0.0098,193.0,0.0116,446.0,0.0267,312.0,0.0187,231.0,0.0138,319.0,0.0191,141.0,0.0085,28.0,0.0017,2007.0,0.1203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0011,346.0,0.0207,646.0,0.0387,463.0,0.0278,388.0,0.0233,514.0,0.0308,225.0,0.0135,67.0,0.004,2923.0,0.1752,4549.0,0.2727,4463.0,0.2675,2520.0,0.1511,1564.0,0.0937,2032.0,0.1218,1043.0,0.0625,531.0,0.0318,16683.0,1.0,16683.0
Dandenong,3606.0,0.1834,3102.0,0.1578,1813.0,0.0922,1118.0,0.0569,1389.0,0.0706,884.0,0.045,510.0,0.0259,12542.0,0.6378,170.0,0.0086,133.0,0.0068,64.0,0.0033,30.0,0.0015,46.0,0.0023,12.0,0.0006,6.0,0.0003,705.0,0.0359,236.0,0.012,185.0,0.0094,74.0,0.0038,31.0,0.0016,25.0,0.0013,12.0,0.0006,4.0,0.0002,838.0,0.0426,457.0,0.0232,330.0,0.0168,133.0,0.0068,48.0,0.0024,127.0,0.0065,27.0,0.0014,18.0,0.0009,1487.0,0.0756,27.0,0.0014,21.0,0.0011,10.0,0.0005,0.0,0.0,3.0,0.0002,0.0,0.0,0.0,0.0,102.0,0.0052,4709.0,0.2395,3979.0,0.2024,2173.0,0.1105,1352.0,0.0688,1751.0,0.0891,1014.0,0.0516,580.0,0.0295,15719.0,0.7994,269.0,0.0137,496.0,0.0252,288.0,0.0146,248.0,0.0126,357.0,0.0182,236.0,0.012,121.0,0.0062,2374.0,0.1207,39.0,0.002,55.0,0.0028,18.0,0.0009,3.0,0.0002,34.0,0.0017,0.0,0.0,0.0,0.0,340.0,0.0173,18.0,0.0009,54.0,0.0027,3.0,0.0002,3.0,0.0002,16.0,0.0008,0.0,0.0,4.0,0.0002,184.0,0.0094,122.0,0.0062,167.0,0.0085,69.0,0.0035,32.0,0.0016,44.0,0.0022,17.0,0.0009,9.0,0.0005,743.0,0.0378,11.0,0.0006,42.0,0.0021,9.0,0.0005,3.0,0.0002,4.0,0.0002,0.0,0.0,0.0,0.0,163.0,0.0083,617.0,0.0314,962.0,0.0489,582.0,0.0296,402.0,0.0204,589.0,0.03,308.0,0.0157,165.0,0.0084,3923.0,0.1995,5441.0,0.2767,4938.0,0.2511,2819.0,0.1434,1862.0,0.0947,2382.0,0.1211,1422.0,0.0723,827.0,0.0421,19663.0,1.0,19663.0
Eildon,64.0,0.0051,58.0,0.0046,21.0,0.0017,28.0,0.0022,62.0,0.0049,3.0,0.0002,5.0,0.0004,412.0,0.0325,89.0,0.007,179.0,0.0141,98.0,0.0077,53.0,0.0042,50.0,0.0039,19.0,0.0015,6.0,0.0005,742.0,0.0586,110.0,0.0087,141.0,0.0111,98.0,0.0077,28.0,0.0022,45.0,0.0036,4.0,0.0003,0.0,0.0,696.0,0.055,2184.0,0.1724,2324.0,0.1835,1509.0,0.1191,936.0,0.0739,1182.0,0.0933,320.0,0.0253,103.0,0.0081,8498.0,0.6709,4.0,0.0003,16.0,0.0013,0.0,0.0,0.0,0.0,7.0,0.0006,0.0,0.0,0.0,0.0,47.0,0.0037,2612.0,0.2062,2798.0,0.2209,1858.0,0.1467,1153.0,0.091,1451.0,0.1146,408.0,0.0322,130.0,0.0103,10450.0,0.825,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0039,9.0,0.0007,24.0,0.0019,30.0,0.0024,8.0,0.0006,25.0,0.002,3.0,0.0002,0.0,0.0,193.0,0.0152,6.0,0.0005,4.0,0.0003,0.0,0.0,3.0,0.0002,6.0,0.0005,0.0,0.0,6.0,0.0005,104.0,0.0082,259.0,0.0204,345.0,0.0272,292.0,0.0231,189.0,0.0149,273.0,0.0216,40.0,0.0032,6.0,0.0005,1770.0,0.1397,3.0,0.0002,7.0,0.0006,3.0,0.0002,0.0,0.0,8.0,0.0006,0.0,0.0,0.0,0.0,42.0,0.0033,318.0,0.0251,463.0,0.0366,437.0,0.0345,286.0,0.0226,370.0,0.0292,57.0,0.0045,32.0,0.0025,2249.0,0.1776,2970.0,0.2345,3372.0,0.2662,2310.0,0.1824,1537.0,0.1213,1801.0,0.1422,531.0,0.0419,162.0,0.0128,12666.0,1.0,12666.0
Eltham,371.0,0.0221,431.0,0.0257,189.0,0.0113,133.0,0.0079,164.0,0.0098,103.0,0.0061,47.0,0.0028,1766.0,0.1054,329.0,0.0196,413.0,0.0246,238.0,0.0142,104.0,0.0062,171.0,0.0102,69.0,0.0041,17.0,0.001,1634.0,0.0975,259.0,0.0155,366.0,0.0218,165.0,0.0098,78.0,0.0047,143.0,0.0085,84.0,0.005,26.0,0.0016,1352.0,0.0807,2192.0,0.1308,2499.0,0.1491,1512.0,0.0902,1063.0,0.0634,1445.0,0.0862,779.0,0.0465,430.0,0.0257,9956.0,0.594,0.0,0.0,14.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0017,3269.0,0.195,3813.0,0.2275,2254.0,0.1345,1500.0,0.0895,2133.0,0.1273,1170.0,0.0698,587.0,0.035,14667.0,0.8751,6.0,0.0004,8.0,0.0005,0.0,0.0,0.0,0.0,11.0,0.0007,7.0,0.0004,5.0,0.0003,165.0,0.0098,15.0,0.0009,17.0,0.001,34.0,0.002,7.0,0.0004,15.0,0.0009,6.0,0.0004,4.0,0.0002,226.0,0.0135,0.0,0.0,16.0,0.001,18.0,0.0011,0.0,0.0,11.0,0.0007,0.0,0.0,3.0,0.0002,153.0,0.0091,86.0,0.0051,226.0,0.0135,227.0,0.0135,173.0,0.0103,207.0,0.0124,105.0,0.0063,27.0,0.0016,1390.0,0.0829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0002,153.0,0.0091,360.0,0.0215,342.0,0.0204,251.0,0.015,362.0,0.0216,164.0,0.0098,90.0,0.0054,2051.0,0.1224,3476.0,0.2074,4198.0,0.2505,2656.0,0.1585,1836.0,0.1095,2452.0,0.1463,1362.0,0.0813,724.0,0.0432,16761.0,1.0,16761.0
Essendon,684.0,0.0482,676.0,0.0477,297.0,0.0209,195.0,0.0138,163.0,0.0115,135.0,0.0095,32.0,0.0023,2389.0,0.1685,310.0,0.0219,262.0,0.0185,120.0,0.0085,84.0,0.0059,134.0,0.0095,88.0,0.0062,32.0,0.0023,1257.0,0.0887,316.0,0.0223,325.0,0.0229,107.0,0.0075,49.0,0.0035,59.0,0.0042,71.0,0.005,28.0,0.002,1272.0,0.0897,1502.0,0.1059,1733.0,0.1222,1132.0,0.0798,755.0,0.0532,1003.0,0.0707,718.0,0.0506,318.0,0.0224,7286.0,0.5139,4.0,0.0003,8.0,0.0006,0.0,0.0,0.0,0.0,3.0,0.0002,0.0,0.0,0.0,0.0,31.0,0.0022,2935.0,0.207,3075.0,0.2169,1779.0,0.1255,1198.0,0.0845,1562.0,0.1102,1084.0,0.0765,536.0,0.0378,12237.0,0.863,88.0,0.0062,116.0,0.0082,70.0,0.0049,35.0,0.0025,66.0,0.0047,37.0,0.0026,22.0,0.0016,664.0,0.0468,6.0,0.0004,21.0,0.0015,10.0,0.0007,17.0,0.0012,17.0,0.0012,6.0,0.0004,3.0,0.0002,176.0,0.0124,6.0,0.0004,15.0,0.0011,9.0,0.0006,4.0,0.0003,5.0,0.0004,8.0,0.0006,0.0,0.0,130.0,0.0092,43.0,0.003,129.0,0.0091,94.0,0.0066,67.0,0.0047,111.0,0.0078,62.0,0.0044,15.0,0.0011,779.0,0.0549,13.0,0.0009,13.0,0.0009,9.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0038,253.0,0.0178,366.0,0.0258,288.0,0.0203,178.0,0.0126,292.0,0.0206,155.0,0.0109,57.0,0.004,1922.0,0.1356,3202.0,0.2258,3528.0,0.2488,2116.0,0.1492,1459.0,0.1029,1888.0,0.1332,1336.0,0.0942,664.0,0.0468,14179.0,1.0,14179.0
Eureka,293.0,0.0173,264.0,0.0156,132.0,0.0078,68.0,0.004,54.0,0.0032,11.0,0.0007,3.0,0.0002,1054.0,0.0623,157.0,0.0093,246.0,0.0145,116.0,0.0069,63.0,0.0037,73.0,0.0043,20.0,0.0012,8.0,0.0005,917.0,0.0542,172.0,0.0102,199.0,0.0118,73.0,0.0043,41.0,0.0024,70.0,0.0041,22.0,0.0013,0.0,0.0,813.0,0.0481,2896.0,0.1713,3093.0,0.1829,1747.0,0.1033,1137.0,0.0672,1306.0,0.0772,394.0,0.0233,101.0,0.006,10726.0,0.6343,12.0,0.0007,6.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0023,3648.0,0.2157,3928.0,0.2323,2179.0,0.1289,1468.0,0.0868,1631.0,0.0965,569.0,0.0337,184.0,0.0109,13581.0,0.8032,22.0,0.0013,10.0,0.0006,9.0,0.0005,3.0,0.0002,13.0,0.0008,0.0,0.0,0.0,0.0,122.0,0.0072,22.0,0.0013,47.0,0.0028,31.0,0.0018,11.0,0.0007,15.0,0.0009,0.0,0.0,0.0,0.0,261.0,0.0154,15.0,0.0009,33.0,0.002,22.0,0.0013,10.0,0.0006,16.0,0.0009,3.0,0.0002,0.0,0.0,152.0,0.009,452.0,0.0267,643.0,0.038,492.0,0.0291,344.0,0.0203,412.0,0.0244,57.0,0.0034,11.0,0.0007,2605.0,0.1541,0.0,0.0,7.0,0.0004,0.0,0.0,0.0,0.0,3.0,0.0002,0.0,0.0,0.0,0.0,32.0,0.0019,573.0,0.0339,821.0,0.0486,625.0,0.037,406.0,0.024,541.0,0.032,108.0,0.0064,30.0,0.0018,3287.0,0.1944,4220.0,0.2496,4728.0,0.2796,2782.0,0.1645,1898.0,0.1122,2138.0,0.1264,790.0,0.0467,246.0,0.0145,16909.0,1.0,16909.0
Euroa,121.0,0.0103,83.0,0.007,66.0,0.0056,23.0,0.002,41.0,0.0035,5.0,0.0004,0.0,0.0,497.0,0.0422,76.0,0.0065,117.0,0.0099,50.0,0.0042,21.0,0.0018,29.0,0.0025,17.0,0.0014,0.0,0.0,464.0,0.0394,86.0,0.0073,122.0,0.0104,50.0,0.0042,34.0,0.0029,17.0,0.0014,3.0,0.0003,0.0,0.0,527.0,0.0447,2013.0,0.1709,2002.0,0.17,1222.0,0.1038,855.0,0.0726,1008.0,0.0856,228.0,0.0194,49.0,0.0042,7575.0,0.6432,6.0,0.0005,9.0,0.0008,2.0,0.0002,3.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0022,2442.0,0.2074,2485.0,0.211,1559.0,0.1324,1026.0,0.0871,1201.0,0.102,301.0,0.0256,59.0,0.005,9203.0,0.7814,9.0,0.0008,7.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0003,0.0,0.0,67.0,0.0057,12.0,0.001,21.0,0.0018,4.0,0.0003,20.0,0.0017,15.0,0.0013,0.0,0.0,0.0,0.0,153.0,0.013,6.0,0.0005,9.0,0.0008,3.0,0.0003,7.0,0.0006,6.0,0.0005,0.0,0.0,0.0,0.0,47.0,0.004,358.0,0.0304,532.0,0.0452,390.0,0.0331,223.0,0.0189,335.0,0.0284,48.0,0.0041,6.0,0.0005,2119.0,0.1799,6.0,0.0005,6.0,0.0005,21.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0059,453.0,0.0385,654.0,0.0555,480.0,0.0408,300.0,0.0255,415.0,0.0352,68.0,0.0058,10.0,0.0008,2611.0,0.2217,2906.0,0.2468,3212.0,0.2727,1987.0,0.1687,1367.0,0.1161,1662.0,0.1411,462.0,0.0392,117.0,0.0099,11777.0,1.0,11777.0
Evelyn,357.0,0.0216,352.0,0.0213,215.0,0.013,72.0,0.0044,186.0,0.0113,85.0,0.0051,28.0,0.0017,1531.0,0.0926,246.0,0.0149,219.0,0.0132,67.0,0.0041,66.0,0.004,101.0,0.0061,44.0,0.0027,14.0,0.0008,1098.0,0.0664,263.0,0.0159,235.0,0.0142,92.0,0.0056,54.0,0.0033,95.0,0.0057,15.0,0.0009,10.0,0.0006,1005.0,0.0608,3094.0,0.1872,2796.0,0.1691,1523.0,0.0921,1010.0,0.0611,1308.0,0.0791,474.0,0.0287,200.0,0.0121,10546.0,0.638,8.0,0.0005,5.0,0.0003,4.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0012,4023.0,0.2434,3798.0,0.2298,2064.0,0.1249,1400.0,0.0847,1860.0,0.1125,722.0,0.0437,335.0,0.0203,14259.0,0.8626,4.0,0.0002,17.0,0.001,0.0,0.0,3.0,0.0002,21.0,0.0013,7.0,0.0004,0.0,0.0,130.0,0.0079,14.0,0.0008,41.0,0.0025,16.0,0.001,10.0,0.0006,15.0,0.0009,0.0,0.0,6.0,0.0004,214.0,0.0129,4.0,0.0002,18.0,0.0011,6.0,0.0004,3.0,0.0002,6.0,0.0004,0.0,0.0,0.0,0.0,142.0,0.0086,185.0,0.0112,393.0,0.0238,283.0,0.0171,177.0,0.0107,292.0,0.0177,109.0,0.0066,35.0,0.0021,1686.0,0.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0002,246.0,0.0149,532.0,0.0322,368.0,0.0223,285.0,0.0172,424.0,0.0256,154.0,0.0093,53.0,0.0032,2259.0,0.1367,4331.0,0.262,4290.0,0.2595,2500.0,0.1512,1679.0,0.1016,2244.0,0.1357,954.0,0.0577,454.0,0.0275,16531.0,1.0,16531.0
Footscray,1089.0,0.0815,856.0,0.0641,466.0,0.0349,274.0,0.0205,344.0,0.0257,243.0,0.0182,90.0,0.0067,3585.0,0.2683,427.0,0.032,365.0,0.0273,184.0,0.0138,81.0,0.0061,79.0,0.0059,25.0,0.0019,12.0,0.0009,1393.0,0.1043,527.0,0.0394,362.0,0.0271,136.0,0.0102,58.0,0.0043,62.0,0.0046,12.0,0.0009,21.0,0.0016,1393.0,0.1043,1562.0,0.1169,1303.0,0.0975,670.0,0.0501,375.0,0.0281,453.0,0.0339,187.0,0.014,75.0,0.0056,4894.0,0.3663,0.0,0.0,5.0,0.0004,4.0,0.0003,5.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0031,3736.0,0.2796,3068.0,0.2296,1544.0,0.1156,891.0,0.0667,1088.0,0.0814,629.0,0.0471,283.0,0.0212,11298.0,0.8457,75.0,0.0056,125.0,0.0094,60.0,0.0045,55.0,0.0041,76.0,0.0057,93.0,0.007,41.0,0.0031,764.0,0.0572,24.0,0.0018,42.0,0.0031,21.0,0.0016,13.0,0.001,13.0,0.001,0.0,0.0,6.0,0.0004,262.0,0.0196,7.0,0.0005,17.0,0.0013,3.0,0.0002,8.0,0.0006,8.0,0.0006,4.0,0.0003,4.0,0.0003,154.0,0.0115,55.0,0.0041,167.0,0.0125,84.0,0.0063,66.0,0.0049,85.0,0.0064,28.0,0.0021,9.0,0.0007,727.0,0.0544,4.0,0.0003,3.0,0.0002,3.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0016,250.0,0.0187,511.0,0.0382,291.0,0.0218,200.0,0.015,233.0,0.0174,182.0,0.0136,71.0,0.0053,2007.0,0.1502,4006.0,0.2999,3561.0,0.2665,1823.0,0.1365,1163.0,0.0871,1407.0,0.1053,834.0,0.0624,469.0,0.0351,13360.0,1.0,13360.0
Frankston,360.0,0.0263,399.0,0.0291,247.0,0.018,144.0,0.0105,190.0,0.0139,101.0,0.0074,39.0,0.0028,1719.0,0.1255,279.0,0.0204,236.0,0.0172,118.0,0.0086,62.0,0.0045,115.0,0.0084,21.0,0.0015,10.0,0.0007,1098.0,0.0802,256.0,0.0187,274.0,0.02,123.0,0.009,54.0,0.0039,92.0,0.0067,14.0,0.001,8.0,0.0006,1170.0,0.0854,1929.0,0.1409,1672.0,0.1221,842.0,0.0615,485.0,0.0354,623.0,0.0455,242.0,0.0177,87.0,0.0064,6097.0,0.4453,4.0,0.0003,8.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0015,2891.0,0.2111,2733.0,0.1996,1471.0,0.1074,956.0,0.0698,1203.0,0.0879,516.0,0.0377,179.0,0.0131,10079.0,0.7361,9.0,0.0007,32.0,0.0023,11.0,0.0008,21.0,0.0015,84.0,0.0061,9.0,0.0007,0.0,0.0,381.0,0.0278,38.0,0.0028,76.0,0.0056,48.0,0.0035,47.0,0.0034,43.0,0.0031,11.0,0.0008,0.0,0.0,481.0,0.0351,20.0,0.0015,53.0,0.0039,19.0,0.0014,13.0,0.0009,27.0,0.002,7.0,0.0005,3.0,0.0002,335.0,0.0245,360.0,0.0263,660.0,0.0482,392.0,0.0286,264.0,0.0193,288.0,0.021,89.0,0.0065,22.0,0.0016,2371.0,0.1732,0.0,0.0,20.0,0.0015,4.0,0.0003,3.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0049,563.0,0.0411,952.0,0.0695,638.0,0.0466,476.0,0.0348,603.0,0.044,193.0,0.0141,57.0,0.0042,3603.0,0.2631,3535.0,0.2582,3704.0,0.2705,2136.0,0.156,1389.0,0.1014,1803.0,0.1317,786.0,0.0574,267.0,0.0195,13693.0,1.0,13693.0
