district,census_variable,value,rank
Richmond,Age_0_4_yr_F_pc,0.0202,9.0
Malvern,Age_0_4_yr_F_pc,0.0203,10.0
Box Hill,Age_0_4_yr_F_pc,0.0212,11.0
Gippsland East,Age_0_4_yr_F_pc,0.0218,12.0
Brighton,Age_0_4_yr_F_pc,0.0222,13.0
Rowville,Age_0_4_yr_F_pc,0.0223,14.0
Bulleen,Age_0_4_yr_F_pc,0.0225,15.0
Warrandyte,Age_0_4_yr_F_pc,0.0228,16.0
Eildon,Age_0_4_yr_F_pc,0.0229,17.0
Mornington,Age_0_4_yr_F_pc,0.0229,18.0
Oakleigh,Age_0_4_yr_F_pc,0.0229,19.0
Sandringham,Age_0_4_yr_F_pc,0.023,20.0
Ashwood,Age_0_4_yr_F_pc,0.0232,21.0
Euroa,Age_0_4_yr_F_pc,0.0238,22.0
Bellarine,Age_0_4_yr_F_pc,0.0239,23.0
Essendon,Age_0_4_yr_F_pc,0.024,24.0
South-West Coast,Age_0_4_yr_F_pc,0.024,25.0
Gippsland South,Age_0_4_yr_F_pc,0.0241,26.0
Ovens Valley,Age_0_4_yr_F_pc,0.0244,27.0
Northcote,Age_0_4_yr_F_pc,0.0245,28.0
Niddrie,Age_0_4_yr_F_pc,0.0246,29.0
Ripon,Age_0_4_yr_F_pc,0.025,30.0
Mulgrave,Age_0_4_yr_F_pc,0.0255,31.0
Clarinda,Age_0_4_yr_F_pc,0.0256,32.0
Bentleigh,Age_0_4_yr_F_pc,0.026,33.0
Caulfield,Age_0_4_yr_F_pc,0.026,34.0
Geelong,Age_0_4_yr_F_pc,0.0263,35.0
Ivanhoe,Age_0_4_yr_F_pc,0.0263,36.0
Macedon,Age_0_4_yr_F_pc,0.0263,37.0
Murray Plains,Age_0_4_yr_F_pc,0.0263,38.0
Bundoora,Age_0_4_yr_F_pc,0.0264,39.0
Monbulk,Age_0_4_yr_F_pc,0.0266,40.0
Lowan,Age_0_4_yr_F_pc,0.0268,41.0
Morwell,Age_0_4_yr_F_pc,0.027,42.0
St Albans,Age_0_4_yr_F_pc,0.027,43.0
Bendigo West,Age_0_4_yr_F_pc,0.0271,44.0
Polwarth,Age_0_4_yr_F_pc,0.0271,45.0
Eltham,Age_0_4_yr_F_pc,0.0272,46.0
Mildura,Age_0_4_yr_F_pc,0.0274,47.0
Preston,Age_0_4_yr_F_pc,0.0277,48.0
Frankston,Age_0_4_yr_F_pc,0.0279,49.0
Pascoe Vale,Age_0_4_yr_F_pc,0.0282,50.0
Wendouree,Age_0_4_yr_F_pc,0.0282,51.0
Footscray,Age_0_4_yr_F_pc,0.0283,52.0
Shepparton,Age_0_4_yr_F_pc,0.0283,53.0
Hastings,Age_0_4_yr_F_pc,0.0285,54.0
Lara,Age_0_4_yr_F_pc,0.0287,55.0
Mordialloc,Age_0_4_yr_F_pc,0.0289,56.0
Ringwood,Age_0_4_yr_F_pc,0.0289,57.0
Bass,Age_0_4_yr_F_pc,0.029,58.0
Narre Warren North,Age_0_4_yr_F_pc,0.0293,59.0
Sydenham,Age_0_4_yr_F_pc,0.0293,60.0
