district,Tot_P_M_pc,Tot_P_F_pc,Tot_P_P_pc,Age_0_4_yr_M_pc,Age_0_4_yr_F_pc,Age_0_4_yr_P_pc,Age_5_14_yr_M_pc,Age_5_14_yr_F_pc,Age_5_14_yr_P_pc,Age_15_19_yr_M_pc,Age_15_19_yr_F_pc,Age_15_19_yr_P_pc,Age_20_24_yr_M_pc,Age_20_24_yr_F_pc,Age_20_24_yr_P_pc,Age_25_34_yr_M_pc,Age_25_34_yr_F_pc,Age_25_34_yr_P_pc,Age_35_44_yr_M_pc,Age_35_44_yr_F_pc,Age_35_44_yr_P_pc,Age_45_54_yr_M_pc,Age_45_54_yr_F_pc,Age_45_54_yr_P_pc,Age_55_64_yr_M_pc,Age_55_64_yr_F_pc,Age_55_64_yr_P_pc,Age_65_74_yr_M_pc,Age_65_74_yr_F_pc,Age_65_74_yr_P_pc,Age_75_84_yr_M_pc,Age_75_84_yr_F_pc,Age_75_84_yr_P_pc,Age_85ov_M_pc,Age_85ov_F_pc,Age_85ov_P_pc,Counted_Census_Night_home_M_pc,Counted_Census_Night_home_F_pc,Counted_Census_Night_home_P_pc,Count_Census_Nt_Ewhere_Aust_M_pc,Count_Census_Nt_Ewhere_Aust_F_pc,Count_Census_Nt_Ewhere_Aust_P_pc,Indigenous_psns_Aboriginal_M_pc,Indigenous_psns_Aboriginal_F_pc,Indigenous_psns_Aboriginal_P_pc,Indig_psns_Torres_Strait_Is_M_pc,Indig_psns_Torres_Strait_Is_F_pc,Indig_psns_Torres_Strait_Is_P_pc,Indig_Bth_Abor_Torres_St_Is_M_pc,Indig_Bth_Abor_Torres_St_Is_F_pc,Indig_Bth_Abor_Torres_St_Is_P_pc,Indigenous_P_Tot_M_pc,Indigenous_P_Tot_F_pc,Indigenous_P_Tot_P_pc,Birthplace_Australia_M_pc,Birthplace_Australia_F_pc,Birthplace_Australia_P_pc,Birthplace_Elsewhere_M_pc,Birthplace_Elsewhere_F_pc,Birthplace_Elsewhere_P_pc,Lang_used_home_Eng_only_M_pc,Lang_used_home_Eng_only_F_pc,Lang_used_home_Eng_only_P_pc,Lang_used_home_Oth_Lang_M_pc,Lang_used_home_Oth_Lang_F_pc,Lang_used_home_Oth_Lang_P_pc,Australian_citizen_M_pc,Australian_citizen_F_pc,Australian_citizen_P_pc,Age_psns_att_educ_inst_0_4_M_pc,Age_psns_att_educ_inst_0_4_F_pc,Age_psns_att_educ_inst_0_4_P_pc,Age_psns_att_educ_inst_5_14_M_pc,Age_psns_att_educ_inst_5_14_F_pc,Age_psns_att_educ_inst_5_14_P_pc,Age_psns_att_edu_inst_15_19_M_pc,Age_psns_att_edu_inst_15_19_F_pc,Age_psns_att_edu_inst_15_19_P_pc,Age_psns_att_edu_inst_20_24_M_pc,Age_psns_att_edu_inst_20_24_F_pc,Age_psns_att_edu_inst_20_24_P_pc,Age_psns_att_edu_inst_25_ov_M_pc,Age_psns_att_edu_inst_25_ov_F_pc,Age_psns_att_edu_inst_25_ov_P_pc,High_yr_schl_comp_Yr_12_eq_M_pc,High_yr_schl_comp_Yr_12_eq_F_pc,High_yr_schl_comp_Yr_12_eq_P_pc,High_yr_schl_comp_Yr_11_eq_M_pc,High_yr_schl_comp_Yr_11_eq_F_pc,High_yr_schl_comp_Yr_11_eq_P_pc,High_yr_schl_comp_Yr_10_eq_M_pc,High_yr_schl_comp_Yr_10_eq_F_pc,High_yr_schl_comp_Yr_10_eq_P_pc,High_yr_schl_comp_Yr_9_eq_M_pc,High_yr_schl_comp_Yr_9_eq_F_pc,High_yr_schl_comp_Yr_9_eq_P_pc,High_yr_schl_comp_Yr_8_belw_M_pc,High_yr_schl_comp_Yr_8_belw_F_pc,High_yr_schl_comp_Yr_8_belw_P_pc,High_yr_schl_comp_D_n_g_sch_M_pc,High_yr_schl_comp_D_n_g_sch_F_pc,High_yr_schl_comp_D_n_g_sch_P_pc,Count_psns_occ_priv_dwgs_M_pc,Count_psns_occ_priv_dwgs_F_pc,Count_psns_occ_priv_dwgs_P_pc,Count_Persons_other_dwgs_M_pc,Count_Persons_other_dwgs_F_pc,Count_Persons_other_dwgs_P_pc,Tot_P_P_total
Mulgrave,0.5014,0.4977,1.0,0.0273,0.0255,0.0529,0.0551,0.0505,0.1064,0.0263,0.0236,0.0499,0.0362,0.0304,0.0661,0.0839,0.0728,0.157,0.0698,0.0678,0.1373,0.06,0.0608,0.1207,0.0524,0.0547,0.1066,0.0452,0.0537,0.0987,0.0329,0.036,0.0693,0.0129,0.0215,0.0349,0.4919,0.4879,0.9797,0.0106,0.0098,0.0196,0.0012,0.0008,0.0025,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0012,0.001,0.0029,0.2098,0.1974,0.4078,0.2691,0.2783,0.547,0.1819,0.1698,0.3509,0.2939,0.3033,0.5969,0.3703,0.3725,0.744,0.0075,0.0067,0.0154,0.0518,0.0473,0.1003,0.0223,0.0217,0.0435,0.0193,0.0165,0.0354,0.0218,0.0258,0.0473,0.2605,0.2555,0.5164,0.0338,0.0292,0.0629,0.0403,0.0383,0.0785,0.0186,0.0202,0.039,0.026,0.0341,0.0602,0.0139,0.0174,0.0315,0.4753,0.4694,0.9443,0.0263,0.0278,0.0551,77013.0
Murray Plains,0.4932,0.507,1.0,0.0264,0.0263,0.052,0.0627,0.061,0.1226,0.0293,0.0255,0.0557,0.0252,0.0246,0.0502,0.0514,0.0548,0.107,0.0502,0.0545,0.1049,0.0587,0.0616,0.1214,0.0712,0.0724,0.1438,0.0655,0.0634,0.1306,0.038,0.0419,0.0802,0.0137,0.0201,0.0334,0.469,0.4868,0.9568,0.0233,0.0198,0.0433,0.014,0.0147,0.0301,0.0003,0.0002,0.0006,0.0002,0.0003,0.0006,0.0149,0.0156,0.0314,0.4138,0.4244,0.8379,0.0387,0.0443,0.0831,0.4284,0.4424,0.8721,0.0263,0.0276,0.054,0.4362,0.4503,0.8871,0.0059,0.0059,0.0127,0.0567,0.0554,0.1121,0.0194,0.0195,0.0394,0.0038,0.0063,0.0111,0.0054,0.016,0.0228,0.1234,0.1691,0.2918,0.0705,0.0725,0.142,0.095,0.0777,0.1732,0.045,0.0358,0.0812,0.0304,0.0258,0.0554,0.0027,0.0017,0.0042,0.4463,0.4611,0.9076,0.0436,0.044,0.0866,64888.0
Narracan,0.4881,0.5122,1.0,0.0304,0.0299,0.0606,0.0676,0.0628,0.1303,0.0284,0.0286,0.0572,0.0254,0.0247,0.0504,0.0578,0.0646,0.1213,0.056,0.058,0.1148,0.0583,0.064,0.1229,0.063,0.0695,0.1329,0.0594,0.0613,0.1188,0.0328,0.0337,0.0668,0.0082,0.013,0.0224,0.4677,0.4926,0.9607,0.0196,0.0185,0.0394,0.0054,0.0051,0.0119,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0059,0.0053,0.0123,0.4011,0.4178,0.8191,0.0561,0.0617,0.1176,0.4388,0.458,0.8959,0.0213,0.0249,0.0473,0.4398,0.4608,0.9006,0.0084,0.0073,0.0162,0.0626,0.0576,0.1204,0.0216,0.0227,0.0438,0.0047,0.0093,0.0154,0.0074,0.0193,0.0275,0.148,0.2019,0.3498,0.066,0.0644,0.1312,0.0877,0.072,0.1603,0.0373,0.0304,0.0666,0.0213,0.0191,0.0419,0.0009,0.0007,0.0022,0.4509,0.4731,0.9239,0.029,0.0321,0.0617,68111.0
Narre Warren North,0.4983,0.5016,1.0,0.0312,0.0293,0.0604,0.065,0.0606,0.1253,0.032,0.0298,0.061,0.0363,0.0318,0.0688,0.0722,0.0704,0.1418,0.0655,0.0668,0.1326,0.0613,0.0666,0.1268,0.0636,0.0678,0.1311,0.0437,0.0464,0.0904,0.0207,0.0226,0.043,0.0062,0.0106,0.0179,0.488,0.4923,0.9811,0.0093,0.0089,0.0192,0.0015,0.0021,0.0046,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0018,0.0022,0.0051,0.2645,0.2625,0.5268,0.2086,0.2166,0.4259,0.261,0.2566,0.5172,0.2105,0.2182,0.4274,0.4108,0.4152,0.825,0.0087,0.0071,0.0171,0.0597,0.0562,0.1169,0.0251,0.0249,0.0504,0.0146,0.0146,0.0288,0.015,0.0233,0.0381,0.2259,0.2439,0.4697,0.0467,0.0407,0.0867,0.0569,0.0491,0.1061,0.0222,0.0211,0.0443,0.0193,0.023,0.042,0.0079,0.0106,0.0202,0.4712,0.4739,0.9442,0.024,0.0264,0.0504,78850.0
Narre Warren South,0.5023,0.4981,1.0,0.036,0.0346,0.0707,0.0831,0.0773,0.1598,0.0376,0.0366,0.0745,0.0394,0.0357,0.0752,0.0697,0.0724,0.1418,0.0751,0.0767,0.1515,0.0662,0.0684,0.1356,0.052,0.0519,0.1033,0.028,0.0283,0.0561,0.0119,0.0124,0.0245,0.0019,0.0035,0.0071,0.4937,0.4905,0.984,0.0079,0.0079,0.0158,0.0024,0.0027,0.0056,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0026,0.0028,0.006,0.2482,0.2433,0.492,0.2313,0.2355,0.4662,0.2411,0.2344,0.475,0.2351,0.2366,0.4725,0.3952,0.3886,0.7842,0.0086,0.0084,0.0176,0.0777,0.0721,0.1496,0.0304,0.031,0.0614,0.0149,0.016,0.0313,0.0163,0.026,0.0427,0.2153,0.2271,0.4429,0.0415,0.0383,0.0797,0.0537,0.0462,0.1001,0.0218,0.0207,0.0435,0.0183,0.0208,0.0379,0.0114,0.0153,0.0269,0.4806,0.4774,0.958,0.0185,0.0191,0.038,90266.0
Nepean,0.4861,0.5134,1.0,0.0216,0.0194,0.0413,0.0486,0.0465,0.096,0.0232,0.0214,0.045,0.019,0.0194,0.0379,0.04,0.0425,0.0839,0.0454,0.0496,0.0943,0.0612,0.0647,0.1255,0.0707,0.08,0.1506,0.0834,0.0884,0.1731,0.0525,0.0578,0.1093,0.0185,0.0235,0.0418,0.4529,0.4825,0.9347,0.033,0.0314,0.0652,0.0042,0.0042,0.0092,0.0,0.0001,0.0003,0.0001,0.0001,0.0002,0.0046,0.0046,0.0098,0.3692,0.3891,0.7591,0.0759,0.0829,0.1597,0.419,0.4436,0.8629,0.0312,0.0336,0.064,0.432,0.4558,0.8881,0.0062,0.005,0.0118,0.0443,0.042,0.0866,0.0164,0.0169,0.0333,0.0056,0.0069,0.0131,0.0069,0.016,0.0243,0.195,0.2237,0.4182,0.0621,0.0648,0.1263,0.0721,0.0686,0.1418,0.029,0.0278,0.057,0.0177,0.0204,0.0395,0.0014,0.0017,0.0031,0.4328,0.4585,0.8911,0.0526,0.0577,0.1112,62145.0
Niddrie,0.4871,0.5133,1.0,0.0282,0.0246,0.0516,0.0604,0.0575,0.1174,0.029,0.0277,0.0573,0.0297,0.026,0.0549,0.0577,0.0568,0.1146,0.0641,0.0682,0.1327,0.0673,0.0721,0.1396,0.0572,0.0631,0.1202,0.046,0.0561,0.1022,0.0343,0.042,0.0765,0.0128,0.0187,0.0324,0.4752,0.5011,0.9763,0.0108,0.0115,0.0234,0.0011,0.0013,0.003,0.0,0.0,0.0001,0.0001,0.0001,0.0003,0.0011,0.0015,0.0036,0.3409,0.3466,0.6871,0.1309,0.1491,0.2802,0.3253,0.3306,0.6566,0.1444,0.1651,0.3101,0.4406,0.4624,0.9018,0.0083,0.0078,0.0173,0.0581,0.055,0.1123,0.025,0.0254,0.051,0.0131,0.0121,0.0267,0.0116,0.0179,0.0289,0.2351,0.2601,0.4954,0.047,0.0444,0.092,0.0474,0.0439,0.0906,0.0214,0.0228,0.0441,0.0246,0.0344,0.0598,0.0039,0.0067,0.0118,0.4671,0.4916,0.9587,0.0156,0.0178,0.0339,69042.0
Northcote,0.4765,0.5233,1.0,0.0247,0.0245,0.0492,0.0508,0.0488,0.1008,0.0222,0.0234,0.0456,0.0261,0.0279,0.0544,0.0916,0.1057,0.1984,0.082,0.0876,0.1693,0.0706,0.0756,0.147,0.0495,0.0545,0.1055,0.031,0.0369,0.0675,0.0179,0.0234,0.0425,0.0079,0.0133,0.0212,0.4589,0.5023,0.9616,0.0169,0.0213,0.0382,0.0022,0.0026,0.0058,0.0,0.0,0.0001,0.0,0.0,0.0,0.0025,0.0029,0.0063,0.3429,0.3719,0.7151,0.1175,0.1351,0.2527,0.3589,0.3863,0.7454,0.1002,0.1196,0.22,0.4206,0.4627,0.8833,0.008,0.008,0.0165,0.0491,0.0478,0.0972,0.0206,0.0207,0.0411,0.0136,0.0148,0.0289,0.0256,0.0421,0.0671,0.2948,0.3418,0.6359,0.0279,0.0257,0.0526,0.0265,0.0222,0.0485,0.0113,0.0104,0.0226,0.0171,0.0242,0.0409,0.0045,0.0072,0.0119,0.4476,0.4915,0.9397,0.0198,0.0209,0.0408,67452.0
Oakleigh,0.5022,0.4983,1.0,0.0249,0.0229,0.0483,0.0461,0.0442,0.0899,0.024,0.0244,0.0489,0.0565,0.0517,0.1093,0.1132,0.1011,0.2141,0.072,0.0695,0.1426,0.0559,0.0586,0.1146,0.045,0.0483,0.0933,0.0306,0.0359,0.0674,0.0194,0.0273,0.0471,0.0098,0.0155,0.0254,0.4909,0.4851,0.9761,0.0102,0.0123,0.0232,0.001,0.0009,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0009,0.0027,0.2468,0.2427,0.4901,0.2335,0.2366,0.47,0.2489,0.2417,0.4896,0.2302,0.2363,0.4658,0.3494,0.3562,0.7061,0.0082,0.007,0.0153,0.0439,0.0417,0.086,0.0219,0.0224,0.0443,0.0368,0.0341,0.072,0.0348,0.0363,0.0709,0.3186,0.3206,0.6388,0.0293,0.0236,0.0529,0.0277,0.0247,0.0522,0.0112,0.0122,0.024,0.0158,0.0221,0.0373,0.0039,0.0053,0.0102,0.462,0.4568,0.9192,0.0403,0.0403,0.0806,89923.0
Ovens Valley,0.4912,0.5095,1.0,0.0242,0.0244,0.0482,0.0607,0.0571,0.1175,0.0286,0.0258,0.055,0.0212,0.021,0.0417,0.0492,0.0509,0.0993,0.0512,0.0549,0.1062,0.0599,0.0651,0.1259,0.0698,0.0736,0.1433,0.07,0.0718,0.1425,0.0416,0.0451,0.0858,0.0122,0.0188,0.0324,0.4632,0.4851,0.9489,0.026,0.0244,0.0515,0.0069,0.0068,0.0159,0.0001,0.0003,0.0003,0.0003,0.0002,0.0005,0.0078,0.0077,0.017,0.4035,0.4176,0.8218,0.0522,0.0564,0.1081,0.4303,0.4468,0.8769,0.0276,0.0309,0.0595,0.4382,0.4551,0.894,0.0068,0.0063,0.0141,0.0557,0.0532,0.1084,0.0193,0.0206,0.0404,0.0034,0.0049,0.0095,0.0086,0.0186,0.0273,0.1489,0.1915,0.342,0.0688,0.068,0.1364,0.0903,0.0765,0.168,0.0375,0.0312,0.0687,0.025,0.0228,0.0485,0.0008,0.0012,0.0034,0.4435,0.4629,0.9059,0.0615,0.0617,0.124,63243.0
Pakenham,0.4882,0.512,1.0,0.0441,0.0424,0.0862,0.0787,0.0752,0.1541,0.0297,0.0275,0.0569,0.0304,0.0317,0.0609,0.0864,0.095,0.1816,0.0799,0.0811,0.1609,0.0537,0.0561,0.1106,0.0369,0.0423,0.0787,0.0282,0.0351,0.0626,0.0161,0.0189,0.0357,0.0037,0.0062,0.0109,0.478,0.5008,0.9792,0.0104,0.0103,0.0211,0.0039,0.0046,0.0091,0.0001,0.0,0.0002,0.0001,0.0,0.0001,0.0042,0.0047,0.0095,0.3233,0.3411,0.6647,0.144,0.1483,0.2918,0.3426,0.3613,0.7042,0.1234,0.1244,0.2481,0.4053,0.4241,0.8306,0.0124,0.0121,0.0251,0.0737,0.0699,0.1441,0.0228,0.0214,0.044,0.0091,0.0116,0.0207,0.0154,0.0289,0.0444,0.1917,0.2281,0.4199,0.0488,0.0462,0.0958,0.0639,0.0565,0.12,0.0256,0.0232,0.049,0.0134,0.0152,0.0287,0.0019,0.0028,0.0055,0.4673,0.4879,0.9552,0.0191,0.0206,0.0396,76386.0
Pascoe Vale,0.4829,0.5165,1.0,0.0284,0.0282,0.0567,0.0537,0.0518,0.106,0.0237,0.0233,0.0463,0.0326,0.0312,0.0639,0.0906,0.0967,0.1877,0.0819,0.0854,0.1666,0.0649,0.0697,0.1341,0.0489,0.0511,0.0991,0.0299,0.0359,0.0653,0.0186,0.0244,0.0434,0.0105,0.0191,0.0299,0.4707,0.502,0.9733,0.012,0.014,0.0268,0.0022,0.0028,0.0055,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0024,0.003,0.006,0.3254,0.3437,0.6692,0.1403,0.1532,0.2938,0.3154,0.3304,0.6455,0.1502,0.1665,0.3177,0.411,0.4428,0.8533,0.0088,0.0083,0.0177,0.0513,0.0496,0.102,0.0194,0.0199,0.0402,0.0158,0.0166,0.033,0.0246,0.0359,0.061,0.2737,0.3059,0.5794,0.0355,0.0296,0.065,0.0333,0.0284,0.0606,0.0142,0.0147,0.0292,0.02,0.0293,0.0501,0.0053,0.008,0.0135,0.4605,0.487,0.9486,0.0198,0.0234,0.0424,68976.0
Point Cook,0.4972,0.5024,1.0,0.0398,0.0381,0.0782,0.0863,0.0802,0.1676,0.0305,0.0265,0.0564,0.0258,0.0253,0.0518,0.0657,0.0734,0.1391,0.1002,0.102,0.2028,0.0659,0.065,0.1298,0.0412,0.0437,0.0853,0.0277,0.0309,0.0581,0.0101,0.0127,0.0236,0.0023,0.0045,0.0073,0.4891,0.4954,0.984,0.0081,0.007,0.0153,0.0022,0.0021,0.0055,0.0,0.0,0.0,0.0001,0.0,0.0002,0.0026,0.0022,0.006,0.2451,0.2431,0.4895,0.2297,0.2394,0.4694,0.2499,0.2455,0.495,0.2239,0.2345,0.4584,0.3702,0.3688,0.7387,0.0128,0.0118,0.0245,0.0805,0.0757,0.1568,0.025,0.0223,0.0468,0.0114,0.0119,0.0234,0.017,0.0274,0.0444,0.2444,0.263,0.5076,0.0347,0.0319,0.0672,0.0402,0.0363,0.0763,0.0168,0.0154,0.0317,0.0107,0.014,0.0259,0.003,0.0041,0.0076,0.4754,0.4811,0.9565,0.02,0.0199,0.0402,92635.0
Polwarth,0.4982,0.502,1.0,0.028,0.0271,0.0552,0.0661,0.0599,0.1263,0.0284,0.0266,0.0556,0.0236,0.0196,0.0432,0.0517,0.0527,0.1038,0.0603,0.0643,0.1248,0.065,0.067,0.1316,0.0684,0.0706,0.1382,0.0651,0.0645,0.1299,0.0319,0.0345,0.0665,0.0084,0.0142,0.0243,0.4684,0.4751,0.9438,0.0298,0.0268,0.0573,0.0038,0.0042,0.0093,0.0001,0.0001,0.0002,0.0,0.0,0.0,0.0039,0.0044,0.0096,0.4126,0.4167,0.8293,0.0521,0.0548,0.1073,0.4452,0.4511,0.8966,0.0219,0.0225,0.0455,0.4464,0.4511,0.8974,0.0084,0.0078,0.0163,0.0616,0.0557,0.1173,0.0223,0.0207,0.0424,0.0056,0.0072,0.0139,0.0096,0.0179,0.0276,0.188,0.2306,0.4187,0.0665,0.0602,0.1266,0.0689,0.0543,0.1234,0.0293,0.0243,0.053,0.0184,0.0159,0.0346,0.0009,0.0008,0.0027,0.4502,0.4582,0.9096,0.0422,0.0435,0.085,70347.0
Prahran,0.4869,0.5136,1.0,0.0154,0.0169,0.0316,0.0207,0.0212,0.0417,0.0118,0.0123,0.0245,0.034,0.0453,0.0788,0.1559,0.169,0.3249,0.0935,0.0856,0.1787,0.0532,0.0517,0.1053,0.0433,0.0433,0.0864,0.0311,0.0369,0.0681,0.0194,0.0223,0.0421,0.0068,0.0103,0.0178,0.4645,0.4905,0.9551,0.0211,0.024,0.0455,0.0016,0.0012,0.0042,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0019,0.0014,0.0047,0.2716,0.2787,0.5505,0.1824,0.2038,0.3861,0.3375,0.3416,0.6781,0.1161,0.1389,0.2553,0.3543,0.3649,0.7195,0.0036,0.0038,0.0083,0.0192,0.0192,0.0386,0.009,0.0103,0.0205,0.0166,0.0221,0.038,0.0332,0.0447,0.079,0.3585,0.385,0.7426,0.0236,0.0229,0.0456,0.0198,0.0187,0.0381,0.0061,0.0052,0.0126,0.0055,0.0072,0.0129,0.0013,0.002,0.0039,0.437,0.4627,0.8998,0.0503,0.0478,0.098,72496.0
Preston,0.493,0.5072,1.0,0.0304,0.0277,0.0582,0.0496,0.0459,0.0954,0.021,0.0204,0.0416,0.0331,0.0296,0.0619,0.0946,0.0939,0.1884,0.0795,0.0808,0.1602,0.0648,0.0643,0.1292,0.0493,0.0523,0.1016,0.0353,0.0408,0.0761,0.0246,0.0317,0.0556,0.012,0.0185,0.031,0.4809,0.4942,0.9753,0.0119,0.0127,0.0245,0.0052,0.0056,0.0111,0.0001,0.0001,0.0001,0.0001,0.0,0.0003,0.0052,0.0057,0.0117,0.2953,0.3015,0.5973,0.1707,0.1806,0.3516,0.2739,0.2793,0.5529,0.1922,0.203,0.3952,0.3953,0.4139,0.809,0.009,0.0074,0.0168,0.0461,0.0438,0.0902,0.0174,0.0173,0.0341,0.0149,0.0153,0.03,0.0267,0.0316,0.0591,0.2579,0.2728,0.5297,0.0354,0.0313,0.0671,0.0386,0.0338,0.0733,0.0182,0.0183,0.036,0.028,0.0383,0.0672,0.008,0.0113,0.0189,0.4651,0.4789,0.9454,0.025,0.0242,0.049,73965.0
Richmond,0.4939,0.5059,1.0,0.0203,0.0202,0.0407,0.0293,0.0309,0.0614,0.0121,0.0139,0.0265,0.0331,0.0387,0.0707,0.1554,0.1619,0.3168,0.0929,0.0827,0.1755,0.0576,0.0551,0.1124,0.0467,0.0438,0.0905,0.0297,0.0324,0.063,0.014,0.0174,0.0307,0.0041,0.0069,0.0115,0.4704,0.483,0.9529,0.0242,0.0242,0.0473,0.0021,0.0019,0.0053,0.0,0.0,0.0001,0.0,0.0,0.0,0.0022,0.0021,0.0056,0.3228,0.3186,0.6407,0.1428,0.161,0.3038,0.3672,0.3605,0.7278,0.0978,0.1198,0.2172,0.4013,0.4101,0.8125,0.0051,0.0053,0.0111,0.0267,0.0285,0.0556,0.0096,0.0124,0.0215,0.0149,0.0189,0.0339,0.0326,0.0425,0.0761,0.3521,0.3593,0.7117,0.0233,0.02,0.0438,0.02,0.0176,0.0389,0.0072,0.0084,0.016,0.0079,0.0141,0.0229,0.0031,0.0066,0.0101,0.449,0.4645,0.9137,0.0409,0.0386,0.0802,67515.0
Ringwood,0.486,0.5138,1.0,0.0308,0.0289,0.0589,0.0608,0.0594,0.1209,0.0292,0.0249,0.0539,0.0291,0.027,0.0562,0.0678,0.0691,0.1381,0.0759,0.0802,0.1577,0.0663,0.0693,0.135,0.0506,0.0556,0.1074,0.0393,0.0462,0.0863,0.0244,0.033,0.0581,0.0104,0.0164,0.0281,0.4727,0.5,0.9725,0.0129,0.013,0.0268,0.0015,0.0018,0.0041,0.0,0.0,0.0,0.0,0.0001,0.0,0.0017,0.0019,0.0045,0.3179,0.3273,0.6449,0.1526,0.1702,0.3227,0.3284,0.3395,0.6688,0.1383,0.1553,0.2948,0.4012,0.4212,0.8224,0.011,0.0093,0.0199,0.0591,0.0576,0.1164,0.0252,0.0225,0.0476,0.0139,0.0137,0.0281,0.018,0.0271,0.0451,0.2629,0.2882,0.5516,0.0419,0.0398,0.0817,0.0388,0.0383,0.077,0.0165,0.0179,0.0343,0.0121,0.0177,0.03,0.0037,0.0051,0.0103,0.4627,0.4878,0.9501,0.0195,0.0224,0.0422,80223.0
Ripon,0.5075,0.493,1.0,0.0256,0.025,0.0507,0.0625,0.0589,0.1209,0.0276,0.0265,0.0553,0.0233,0.0209,0.0448,0.0513,0.0505,0.1016,0.0544,0.0532,0.1083,0.0671,0.0661,0.1334,0.0747,0.0733,0.1487,0.073,0.0675,0.1404,0.0372,0.0353,0.0726,0.0098,0.0145,0.0248,0.4861,0.4741,0.9606,0.0213,0.0176,0.0392,0.0083,0.0085,0.0175,0.0001,0.0002,0.0003,0.0,0.0001,0.0003,0.0092,0.0089,0.0184,0.4221,0.4105,0.8313,0.0501,0.0478,0.0978,0.4404,0.4414,0.8815,0.0195,0.0205,0.0414,0.4433,0.4439,0.8888,0.0073,0.007,0.0153,0.0576,0.0528,0.1111,0.0187,0.0201,0.0387,0.0036,0.0056,0.0101,0.0066,0.0164,0.0232,0.1413,0.1825,0.3223,0.0684,0.0642,0.1322,0.1024,0.0727,0.1734,0.0422,0.0336,0.0771,0.0282,0.0225,0.0505,0.0014,0.0008,0.003,0.4519,0.4538,0.9053,0.0482,0.0351,0.0839,69056.0
Rowville,0.4911,0.5102,1.0,0.0236,0.0223,0.047,0.0619,0.0566,0.1189,0.0336,0.032,0.0663,0.0365,0.0308,0.0685,0.056,0.0559,0.1122,0.0621,0.0673,0.1289,0.067,0.0759,0.1432,0.0693,0.0746,0.1447,0.0483,0.0504,0.0989,0.0235,0.0295,0.0531,0.0071,0.0126,0.0203,0.4805,0.5,0.9802,0.0105,0.0098,0.0196,0.0014,0.0018,0.0039,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0015,0.002,0.0042,0.302,0.3022,0.6021,0.1772,0.1971,0.3755,0.3147,0.3172,0.6316,0.1647,0.1791,0.3427,0.426,0.4338,0.8593,0.0073,0.007,0.0159,0.0597,0.0547,0.1153,0.0294,0.0286,0.0581,0.0172,0.0162,0.0326,0.0133,0.0199,0.0331,0.2567,0.2791,0.535,0.0501,0.0475,0.0974,0.0505,0.0495,0.0996,0.0193,0.0198,0.04,0.0119,0.0158,0.0277,0.0015,0.0033,0.0066,0.4749,0.4943,0.9682,0.0114,0.0139,0.0259,71136.0
Sandringham,0.4761,0.5244,1.0,0.0228,0.023,0.0456,0.0604,0.062,0.1232,0.0317,0.0309,0.063,0.0262,0.0243,0.0503,0.0442,0.0499,0.0945,0.0584,0.0673,0.1247,0.0751,0.0831,0.1587,0.0641,0.0704,0.1351,0.0496,0.0584,0.1084,0.0301,0.0355,0.0659,0.0113,0.0196,0.0302,0.46,0.5066,0.9672,0.0165,0.017,0.0331,0.001,0.0011,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.001,0.0026,0.3361,0.3664,0.7027,0.1241,0.1431,0.2665,0.3951,0.4267,0.8232,0.0649,0.0808,0.1454,0.4189,0.4624,0.8815,0.0088,0.0085,0.0165,0.0578,0.0586,0.1173,0.029,0.0281,0.0574,0.0145,0.0146,0.0288,0.0119,0.0214,0.0335,0.2799,0.3109,0.5911,0.0385,0.0434,0.0828,0.0346,0.0384,0.0737,0.0137,0.0144,0.0281,0.0088,0.0113,0.0206,0.0009,0.0012,0.0024,0.4524,0.4966,0.9488,0.0166,0.02,0.0362,63048.0
Shepparton,0.4954,0.5055,1.0,0.0312,0.0283,0.0594,0.0691,0.0644,0.1326,0.0325,0.0285,0.0606,0.0284,0.0269,0.0555,0.0614,0.0664,0.1277,0.0569,0.0605,0.1179,0.0611,0.0608,0.1233,0.061,0.0645,0.1261,0.0529,0.055,0.108,0.0308,0.0338,0.0647,0.01,0.0154,0.0256,0.4762,0.4869,0.9635,0.02,0.0176,0.0378,0.0172,0.0183,0.036,0.0001,0.0003,0.0004,0.0005,0.0005,0.0006,0.0186,0.0193,0.038,0.374,0.3836,0.7575,0.0817,0.083,0.1651,0.3755,0.3863,0.7619,0.0813,0.0819,0.1632,0.4147,0.426,0.8406,0.0079,0.007,0.015,0.0625,0.0577,0.12,0.022,0.0223,0.0437,0.0056,0.0081,0.0143,0.0095,0.0196,0.0302,0.146,0.1837,0.3302,0.0626,0.0587,0.1216,0.0774,0.0692,0.1467,0.0375,0.0322,0.07,0.0284,0.0253,0.0535,0.0062,0.0056,0.0122,0.4518,0.4607,0.9113,0.043,0.0416,0.0858,74490.0
