district,Buddhism_M_n,Buddhism_M_pc,Buddhism_F_n,Buddhism_F_pc,Buddhism_P_n,Buddhism_P_pc,Christianity_Anglican_M_n,Christianity_Anglican_M_pc,Christianity_Anglican_F_n,Christianity_Anglican_F_pc,Christianity_Anglican_P_n,Christianity_Anglican_P_pc,Christianity_Asyrin_Apstlic_M_n,Christianity_Asyrin_Apstlic_M_pc,Christianity_Asyrin_Apstlic_F_n,Christianity_Asyrin_Apstlic_F_pc,Christianity_Asyrin_Apstlic_P_n,Christianity_Asyrin_Apstlic_P_pc,Christianity_Baptist_M_n,Christianity_Baptist_M_pc,Christianity_Baptist_F_n,Christianity_Baptist_F_pc,Christianity_Baptist_P_n,Christianity_Baptist_P_pc,Christianity_Brethren_M_n,Christianity_Brethren_M_pc,Christianity_Brethren_F_n,Christianity_Brethren_F_pc,Christianity_Brethren_P_n,Christianity_Brethren_P_pc,Christianity_Catholic_M_n,Christianity_Catholic_M_pc,Christianity_Catholic_F_n,Christianity_Catholic_F_pc,Christianity_Catholic_P_n,Christianity_Catholic_P_pc,Christianity_Church_Christ_M_n,Christianity_Church_Christ_M_pc,Christianity_Church_Christ_F_n,Christianity_Church_Christ_F_pc,Christianity_Church_Christ_P_n,Christianity_Church_Christ_P_pc,Christianity_Eastrn_Orthdox_M_n,Christianity_Eastrn_Orthdox_M_pc,Christianity_Eastrn_Orthdox_F_n,Christianity_Eastrn_Orthdox_F_pc,Christianity_Eastrn_Orthdox_P_n,Christianity_Eastrn_Orthdox_P_pc,Christinty_Jehvahs_Witnses_M_n,Christinty_Jehvahs_Witnses_M_pc,Christinty_Jehvahs_Witnses_F_n,Christinty_Jehvahs_Witnses_F_pc,Christinty_Jehvahs_Witnses_P_n,Christinty_Jehvahs_Witnses_P_pc,Christianity_Lattr_day_Snts_M_n,Christianity_Lattr_day_Snts_M_pc,Christianity_Lattr_day_Snts_F_n,Christianity_Lattr_day_Snts_F_pc,Christianity_Lattr_day_Snts_P_n,Christianity_Lattr_day_Snts_P_pc,Christianity_Lutheran_M_n,Christianity_Lutheran_M_pc,Christianity_Lutheran_F_n,Christianity_Lutheran_F_pc,Christianity_Lutheran_P_n,Christianity_Lutheran_P_pc,Christianity_Orintal_Orthdx_M_n,Christianity_Orintal_Orthdx_M_pc,Christianity_Orintal_Orthdx_F_n,Christianity_Orintal_Orthdx_F_pc,Christianity_Orintal_Orthdx_P_n,Christianity_Orintal_Orthdx_P_pc,Christianity_Othr_Protestnt_M_n,Christianity_Othr_Protestnt_M_pc,Christianity_Othr_Protestnt_F_n,Christianity_Othr_Protestnt_F_pc,Christianity_Othr_Protestnt_P_n,Christianity_Othr_Protestnt_P_pc,Christianity_Pentecostal_M_n,Christianity_Pentecostal_M_pc,Christianity_Pentecostal_F_n,Christianity_Pentecostal_F_pc,Christianity_Pentecostal_P_n,Christianity_Pentecostal_P_pc,Christinty_Prsbytrin_Refrmd_M_n,Christinty_Prsbytrin_Refrmd_M_pc,Christinty_Prsbytrin_Refrmd_F_n,Christinty_Prsbytrin_Refrmd_F_pc,Christinty_Prsbytrin_Refrmd_P_n,Christinty_Prsbytrin_Refrmd_P_pc,Christianity_Salvation_Army_M_n,Christianity_Salvation_Army_M_pc,Christianity_Salvation_Army_F_n,Christianity_Salvation_Army_F_pc,Christianity_Salvation_Army_P_n,Christianity_Salvation_Army_P_pc,Christnty_Sevnth_dy_Advntst_M_n,Christnty_Sevnth_dy_Advntst_M_pc,Christnty_Sevnth_dy_Advntst_F_n,Christnty_Sevnth_dy_Advntst_F_pc,Christnty_Sevnth_dy_Advntst_P_n,Christnty_Sevnth_dy_Advntst_P_pc,Christianity_Uniting_Church_M_n,Christianity_Uniting_Church_M_pc,Christianity_Uniting_Church_F_n,Christianity_Uniting_Church_F_pc,Christianity_Uniting_Church_P_n,Christianity_Uniting_Church_P_pc,Christianity_Christian_nfd_M_n,Christianity_Christian_nfd_M_pc,Christianity_Christian_nfd_F_n,Christianity_Christian_nfd_F_pc,Christianity_Christian_nfd_P_n,Christianity_Christian_nfd_P_pc,Christianity_Othr_Christian_M_n,Christianity_Othr_Christian_M_pc,Christianity_Othr_Christian_F_n,Christianity_Othr_Christian_F_pc,Christianity_Othr_Christian_P_n,Christianity_Othr_Christian_P_pc,Christianity_Tot_M_n,Christianity_Tot_M_pc,Christianity_Tot_F_n,Christianity_Tot_F_pc,Christianity_Tot_P_n,Christianity_Tot_P_pc,Hinduism_M_n,Hinduism_M_pc,Hinduism_F_n,Hinduism_F_pc,Hinduism_P_n,Hinduism_P_pc,Islam_M_n,Islam_M_pc,Islam_F_n,Islam_F_pc,Islam_P_n,Islam_P_pc,Judaism_M_n,Judaism_M_pc,Judaism_F_n,Judaism_F_pc,Judaism_P_n,Judaism_P_pc,Othr_Rel_Aust_Abor_Trad_Rel_M_n,Othr_Rel_Aust_Abor_Trad_Rel_M_pc,Othr_Rel_Aust_Abor_Trad_Rel_F_n,Othr_Rel_Aust_Abor_Trad_Rel_F_pc,Othr_Rel_Aust_Abor_Trad_Rel_P_n,Othr_Rel_Aust_Abor_Trad_Rel_P_pc,Othr_Rel_Sikhism_M_n,Othr_Rel_Sikhism_M_pc,Othr_Rel_Sikhism_F_n,Othr_Rel_Sikhism_F_pc,Othr_Rel_Sikhism_P_n,Othr_Rel_Sikhism_P_pc,Othr_Reln_Other_reln_groups_M_n,Othr_Reln_Other_reln_groups_M_pc,Othr_Reln_Other_reln_groups_F_n,Othr_Reln_Other_reln_groups_F_pc,Othr_Reln_Other_reln_groups_P_n,Othr_Reln_Other_reln_groups_P_pc,Other_Religions_Tot_M_n,Other_Religions_Tot_M_pc,Other_Religions_Tot_F_n,Other_Religions_Tot_F_pc,Other_Religions_Tot_P_n,Other_Religions_Tot_P_pc,SB_OSB_NRA_NR_M_n,SB_OSB_NRA_NR_M_pc,SB_OSB_NRA_NR_F_n,SB_OSB_NRA_NR_F_pc,SB_OSB_NRA_NR_P_n,SB_OSB_NRA_NR_P_pc,SB_OSB_NRA_SB_M_n,SB_OSB_NRA_SB_M_pc,SB_OSB_NRA_SB_F_n,SB_OSB_NRA_SB_F_pc,SB_OSB_NRA_SB_P_n,SB_OSB_NRA_SB_P_pc,SB_OSB_NRA_OSB_M_n,SB_OSB_NRA_OSB_M_pc,SB_OSB_NRA_OSB_F_n,SB_OSB_NRA_OSB_F_pc,SB_OSB_NRA_OSB_P_n,SB_OSB_NRA_OSB_P_pc,SB_OSB_NRA_Tot_M_n,SB_OSB_NRA_Tot_M_pc,SB_OSB_NRA_Tot_F_n,SB_OSB_NRA_Tot_F_pc,SB_OSB_NRA_Tot_P_n,SB_OSB_NRA_Tot_P_pc,Religious_affiliation_ns_M_n,Religious_affiliation_ns_M_pc,Religious_affiliation_ns_F_n,Religious_affiliation_ns_F_pc,Religious_affiliation_ns_P_n,Religious_affiliation_ns_P_pc,Tot_M_n,Tot_M_pc,Tot_F_n,Tot_F_pc,Tot_P_n,Tot_P_pc,Tot_P_total
Eildon,167.0,0.0025,276.0,0.0042,507.0,0.0077,2914.0,0.044,3472.0,0.0524,6411.0,0.0968,0.0,0.0,0.0,0.0,0.0,0.0,372.0,0.0056,344.0,0.0052,776.0,0.0117,0.0,0.0,0.0,0.0,3.0,0.0,4372.0,0.066,4670.0,0.0705,9044.0,0.1366,36.0,0.0005,35.0,0.0005,101.0,0.0015,152.0,0.0023,128.0,0.0019,311.0,0.0047,26.0,0.0004,64.0,0.001,116.0,0.0018,3.0,0.0,13.0,0.0002,51.0,0.0008,58.0,0.0009,76.0,0.0011,181.0,0.0027,6.0,0.0001,0.0,0.0,6.0,0.0001,44.0,0.0007,52.0,0.0008,105.0,0.0016,102.0,0.0015,94.0,0.0014,254.0,0.0038,537.0,0.0081,623.0,0.0094,1283.0,0.0194,3.0,0.0,12.0,0.0002,36.0,0.0005,113.0,0.0017,156.0,0.0024,342.0,0.0052,857.0,0.0129,1114.0,0.0168,1961.0,0.0296,806.0,0.0122,902.0,0.0136,1756.0,0.0265,15.0,0.0002,14.0,0.0002,49.0,0.0007,10917.0,0.1648,12199.0,0.1842,23114.0,0.349,20.0,0.0003,48.0,0.0007,87.0,0.0013,27.0,0.0004,29.0,0.0004,99.0,0.0015,13.0,0.0002,0.0,0.0,36.0,0.0005,3.0,0.0,0.0,0.0,4.0,0.0001,24.0,0.0004,23.0,0.0003,42.0,0.0006,74.0,0.0011,129.0,0.0019,226.0,0.0034,109.0,0.0016,151.0,0.0023,292.0,0.0044,18524.0,0.2797,17119.0,0.2585,35612.0,0.5377,107.0,0.0016,41.0,0.0006,180.0,0.0027,12.0,0.0002,74.0,0.0011,142.0,0.0021,18710.0,0.2825,17356.0,0.2621,36015.0,0.5438,3110.0,0.047,2807.0,0.0424,5922.0,0.0894,33148.0,0.5005,33076.0,0.4994,66227.0,1.0,66227.0
Eltham,184.0,0.0028,313.0,0.0047,595.0,0.009,2362.0,0.0356,3002.0,0.0452,5319.0,0.0801,0.0,0.0,3.0,0.0,3.0,0.0,371.0,0.0056,439.0,0.0066,890.0,0.0134,155.0,0.0023,167.0,0.0025,389.0,0.0059,7264.0,0.1095,8221.0,0.1239,15464.0,0.233,5.0,0.0001,21.0,0.0003,42.0,0.0006,874.0,0.0132,960.0,0.0145,1846.0,0.0278,19.0,0.0003,14.0,0.0002,47.0,0.0007,18.0,0.0003,6.0,0.0001,52.0,0.0008,81.0,0.0012,110.0,0.0017,234.0,0.0035,21.0,0.0003,30.0,0.0005,84.0,0.0013,36.0,0.0005,50.0,0.0008,81.0,0.0012,135.0,0.002,176.0,0.0027,378.0,0.0057,405.0,0.0061,480.0,0.0072,972.0,0.0146,23.0,0.0003,30.0,0.0005,65.0,0.001,3.0,0.0,6.0,0.0001,23.0,0.0003,618.0,0.0093,953.0,0.0144,1579.0,0.0238,538.0,0.0081,724.0,0.0109,1278.0,0.0193,8.0,0.0001,8.0,0.0001,16.0,0.0002,13248.0,0.1996,15750.0,0.2373,29038.0,0.4375,152.0,0.0023,165.0,0.0025,407.0,0.0061,233.0,0.0035,224.0,0.0034,503.0,0.0076,20.0,0.0003,24.0,0.0004,54.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0004,17.0,0.0003,73.0,0.0011,18.0,0.0003,44.0,0.0007,103.0,0.0016,59.0,0.0009,73.0,0.0011,186.0,0.0028,16636.0,0.2507,15730.0,0.237,32392.0,0.4881,73.0,0.0011,65.0,0.001,176.0,0.0027,22.0,0.0003,51.0,0.0008,101.0,0.0015,16849.0,0.2539,15902.0,0.2396,32741.0,0.4933,1359.0,0.0205,1260.0,0.019,2728.0,0.0411,32366.0,0.4877,33983.0,0.5121,66366.0,1.0,66366.0
Essendon,713.0,0.0102,983.0,0.014,1703.0,0.0243,1414.0,0.0201,1817.0,0.0259,3271.0,0.0466,0.0,0.0,0.0,0.0,8.0,0.0001,191.0,0.0027,230.0,0.0033,486.0,0.0069,0.0,0.0,0.0,0.0,0.0,0.0,10086.0,0.1437,11306.0,0.1611,21436.0,0.3054,0.0,0.0,14.0,0.0002,35.0,0.0005,1441.0,0.0205,1633.0,0.0233,3127.0,0.0446,27.0,0.0004,46.0,0.0007,105.0,0.0015,11.0,0.0002,6.0,0.0001,22.0,0.0003,33.0,0.0005,51.0,0.0007,111.0,0.0016,105.0,0.0015,173.0,0.0025,292.0,0.0042,23.0,0.0003,40.0,0.0006,87.0,0.0012,115.0,0.0016,145.0,0.0021,281.0,0.004,272.0,0.0039,291.0,0.0041,602.0,0.0086,0.0,0.0,9.0,0.0001,14.0,0.0002,10.0,0.0001,0.0,0.0,14.0,0.0002,444.0,0.0063,683.0,0.0097,1174.0,0.0167,582.0,0.0083,708.0,0.0101,1240.0,0.0177,0.0,0.0,0.0,0.0,0.0,0.0,15093.0,0.2151,17566.0,0.2503,32646.0,0.4652,1083.0,0.0154,874.0,0.0125,1955.0,0.0279,1476.0,0.021,1509.0,0.0215,2987.0,0.0426,19.0,0.0003,29.0,0.0004,52.0,0.0007,4.0,0.0001,0.0,0.0,5.0,0.0001,50.0,0.0007,39.0,0.0006,123.0,0.0018,53.0,0.0008,68.0,0.001,169.0,0.0024,114.0,0.0016,134.0,0.0019,307.0,0.0044,13295.0,0.1894,12814.0,0.1826,26108.0,0.372,87.0,0.0012,58.0,0.0008,193.0,0.0027,18.0,0.0003,31.0,0.0004,72.0,0.001,13471.0,0.1919,12946.0,0.1845,26454.0,0.3769,2033.0,0.029,1930.0,0.0275,3903.0,0.0556,34093.0,0.4858,36048.0,0.5136,70183.0,1.0,70183.0
Eureka,202.0,0.0027,197.0,0.0026,470.0,0.0063,2740.0,0.0367,3406.0,0.0457,6154.0,0.0825,0.0,0.0,0.0,0.0,0.0,0.0,267.0,0.0036,336.0,0.0045,594.0,0.008,33.0,0.0004,40.0,0.0005,73.0,0.001,7636.0,0.1024,8489.0,0.1138,16249.0,0.2178,106.0,0.0014,163.0,0.0022,292.0,0.0039,251.0,0.0034,236.0,0.0032,548.0,0.0073,34.0,0.0005,91.0,0.0012,178.0,0.0024,31.0,0.0004,28.0,0.0004,75.0,0.001,91.0,0.0012,127.0,0.0017,252.0,0.0034,3.0,0.0,0.0,0.0,3.0,0.0,47.0,0.0006,66.0,0.0009,158.0,0.0021,176.0,0.0024,236.0,0.0032,474.0,0.0064,487.0,0.0065,720.0,0.0097,1292.0,0.0173,24.0,0.0003,38.0,0.0005,114.0,0.0015,23.0,0.0003,64.0,0.0009,127.0,0.0017,1139.0,0.0153,1622.0,0.0217,2820.0,0.0378,634.0,0.0085,714.0,0.0096,1431.0,0.0192,3.0,0.0,9.0,0.0001,13.0,0.0002,14294.0,0.1916,16813.0,0.2254,31066.0,0.4165,344.0,0.0046,243.0,0.0033,637.0,0.0085,196.0,0.0026,174.0,0.0023,408.0,0.0055,4.0,0.0001,5.0,0.0001,14.0,0.0002,3.0,0.0,0.0,0.0,3.0,0.0,329.0,0.0044,302.0,0.004,674.0,0.009,65.0,0.0009,158.0,0.0021,207.0,0.0028,410.0,0.0055,507.0,0.0068,908.0,0.0122,18276.0,0.245,17307.0,0.232,35585.0,0.4771,82.0,0.0011,61.0,0.0008,222.0,0.003,31.0,0.0004,73.0,0.001,118.0,0.0016,18460.0,0.2475,17550.0,0.2353,36029.0,0.483,2592.0,0.0347,2421.0,0.0325,5066.0,0.0679,36670.0,0.4916,37903.0,0.5081,74592.0,1.0,74592.0
Euroa,161.0,0.0024,225.0,0.0034,458.0,0.0069,3528.0,0.053,4128.0,0.062,7615.0,0.1143,0.0,0.0,0.0,0.0,3.0,0.0,194.0,0.0029,237.0,0.0036,485.0,0.0073,0.0,0.0,0.0,0.0,0.0,0.0,6967.0,0.1046,7378.0,0.1108,14362.0,0.2156,3.0,0.0,14.0,0.0002,29.0,0.0004,200.0,0.003,174.0,0.0026,399.0,0.006,26.0,0.0004,40.0,0.0006,87.0,0.0013,15.0,0.0002,33.0,0.0005,76.0,0.0011,83.0,0.0012,63.0,0.0009,168.0,0.0025,0.0,0.0,8.0,0.0001,7.0,0.0001,53.0,0.0008,65.0,0.001,154.0,0.0023,144.0,0.0022,123.0,0.0018,327.0,0.0049,837.0,0.0126,897.0,0.0135,1797.0,0.027,51.0,0.0008,71.0,0.0011,144.0,0.0022,15.0,0.0002,31.0,0.0005,67.0,0.001,1232.0,0.0185,1571.0,0.0236,2891.0,0.0434,470.0,0.0071,533.0,0.008,1050.0,0.0158,8.0,0.0001,6.0,0.0001,14.0,0.0002,14256.0,0.214,15754.0,0.2365,29932.0,0.4494,116.0,0.0017,98.0,0.0015,225.0,0.0034,113.0,0.0017,121.0,0.0018,255.0,0.0038,0.0,0.0,3.0,0.0,3.0,0.0,6.0,0.0001,0.0,0.0,11.0,0.0002,56.0,0.0008,66.0,0.001,137.0,0.0021,48.0,0.0007,87.0,0.0013,210.0,0.0032,118.0,0.0018,160.0,0.0024,378.0,0.0057,14785.0,0.222,13430.0,0.2016,28242.0,0.424,62.0,0.0009,55.0,0.0008,143.0,0.0021,24.0,0.0004,50.0,0.0008,87.0,0.0013,14984.0,0.225,13592.0,0.2041,28579.0,0.4291,3602.0,0.0541,3121.0,0.0469,6757.0,0.1014,33410.0,0.5016,33161.0,0.4979,66608.0,1.0,66608.0
Evelyn,268.0,0.0039,317.0,0.0046,621.0,0.009,2389.0,0.0346,3106.0,0.0449,5486.0,0.0793,0.0,0.0,0.0,0.0,0.0,0.0,863.0,0.0125,973.0,0.0141,1907.0,0.0276,78.0,0.0011,91.0,0.0013,187.0,0.0027,5650.0,0.0817,6432.0,0.093,12193.0,0.1763,209.0,0.003,234.0,0.0034,503.0,0.0073,225.0,0.0033,224.0,0.0032,549.0,0.0079,62.0,0.0009,60.0,0.0009,181.0,0.0026,59.0,0.0009,61.0,0.0009,156.0,0.0023,67.0,0.001,143.0,0.0021,237.0,0.0034,10.0,0.0001,26.0,0.0004,45.0,0.0007,112.0,0.0016,118.0,0.0017,285.0,0.0041,383.0,0.0055,416.0,0.006,830.0,0.012,445.0,0.0064,541.0,0.0078,1079.0,0.0156,37.0,0.0005,41.0,0.0006,108.0,0.0016,195.0,0.0028,208.0,0.003,434.0,0.0063,712.0,0.0103,1026.0,0.0148,1757.0,0.0254,1275.0,0.0184,1479.0,0.0214,2814.0,0.0407,73.0,0.0011,45.0,0.0007,159.0,0.0023,13353.0,0.1931,15749.0,0.2278,29099.0,0.4208,206.0,0.003,203.0,0.0029,431.0,0.0062,101.0,0.0015,70.0,0.001,214.0,0.0031,6.0,0.0001,21.0,0.0003,44.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0011,56.0,0.0008,162.0,0.0023,60.0,0.0009,82.0,0.0012,209.0,0.003,138.0,0.002,173.0,0.0025,379.0,0.0055,18035.0,0.2608,16588.0,0.2399,34580.0,0.5001,62.0,0.0009,47.0,0.0007,129.0,0.0019,15.0,0.0002,49.0,0.0007,93.0,0.0013,18208.0,0.2633,16705.0,0.2416,34905.0,0.5048,1725.0,0.0249,1568.0,0.0227,3240.0,0.0469,34136.0,0.4937,34930.0,0.5052,69146.0,1.0,69146.0
Footscray,2326.0,0.032,2876.0,0.0396,5121.0,0.0705,984.0,0.0136,1181.0,0.0163,2162.0,0.0298,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0028,233.0,0.0032,466.0,0.0064,0.0,0.0,0.0,0.0,0.0,0.0,6458.0,0.089,7095.0,0.0977,13544.0,0.1866,32.0,0.0004,21.0,0.0003,51.0,0.0007,1418.0,0.0195,1592.0,0.0219,3014.0,0.0415,8.0,0.0001,17.0,0.0002,53.0,0.0007,10.0,0.0001,20.0,0.0003,47.0,0.0006,22.0,0.0003,33.0,0.0005,71.0,0.001,105.0,0.0014,102.0,0.0014,235.0,0.0032,92.0,0.0013,82.0,0.0011,223.0,0.0031,105.0,0.0014,169.0,0.0023,341.0,0.0047,176.0,0.0024,168.0,0.0023,356.0,0.0049,0.0,0.0,7.0,0.0001,10.0,0.0001,6.0,0.0001,17.0,0.0002,45.0,0.0006,253.0,0.0035,343.0,0.0047,613.0,0.0084,747.0,0.0103,822.0,0.0113,1610.0,0.0222,6.0,0.0001,4.0,0.0001,14.0,0.0002,10946.0,0.1508,12317.0,0.1697,23232.0,0.32,1279.0,0.0176,761.0,0.0105,2081.0,0.0287,1464.0,0.0202,999.0,0.0138,2501.0,0.0344,26.0,0.0004,21.0,0.0003,54.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0006,64.0,0.0009,133.0,0.0018,57.0,0.0008,78.0,0.0011,231.0,0.0032,164.0,0.0023,157.0,0.0022,388.0,0.0053,17253.0,0.2376,16498.0,0.2272,33689.0,0.464,197.0,0.0027,88.0,0.0012,341.0,0.0047,27.0,0.0004,47.0,0.0006,120.0,0.0017,17559.0,0.2419,16805.0,0.2315,34225.0,0.4714,2654.0,0.0366,2173.0,0.0299,4788.0,0.066,36338.0,0.5005,36202.0,0.4987,72600.0,1.0,72600.0
Frankston,249.0,0.0036,442.0,0.0065,736.0,0.0108,2680.0,0.0392,3337.0,0.0488,6027.0,0.0882,0.0,0.0,0.0,0.0,0.0,0.0,283.0,0.0041,291.0,0.0043,605.0,0.0089,0.0,0.0,0.0,0.0,0.0,0.0,5080.0,0.0743,6082.0,0.089,11213.0,0.164,22.0,0.0003,22.0,0.0003,68.0,0.001,659.0,0.0096,679.0,0.0099,1419.0,0.0208,89.0,0.0013,71.0,0.001,202.0,0.003,72.0,0.0011,82.0,0.0012,199.0,0.0029,53.0,0.0008,39.0,0.0006,141.0,0.0021,41.0,0.0006,52.0,0.0008,85.0,0.0012,59.0,0.0009,75.0,0.0011,162.0,0.0024,158.0,0.0023,254.0,0.0037,487.0,0.0071,487.0,0.0071,654.0,0.0096,1157.0,0.0169,7.0,0.0001,22.0,0.0003,43.0,0.0006,17.0,0.0002,20.0,0.0003,62.0,0.0009,514.0,0.0075,836.0,0.0122,1398.0,0.0205,804.0,0.0118,979.0,0.0143,1765.0,0.0258,7.0,0.0001,10.0,0.0001,33.0,0.0005,11449.0,0.1675,13920.0,0.2036,25375.0,0.3712,186.0,0.0027,167.0,0.0024,385.0,0.0056,192.0,0.0028,174.0,0.0025,416.0,0.0061,59.0,0.0009,40.0,0.0006,152.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0004,23.0,0.0003,73.0,0.0011,108.0,0.0016,110.0,0.0016,272.0,0.004,132.0,0.0019,156.0,0.0023,348.0,0.0051,17584.0,0.2572,16881.0,0.2469,34517.0,0.5049,119.0,0.0017,66.0,0.001,266.0,0.0039,46.0,0.0007,106.0,0.0016,222.0,0.0032,17831.0,0.2608,17188.0,0.2514,35052.0,0.5128,2962.0,0.0433,2792.0,0.0408,5800.0,0.0848,33224.0,0.486,35133.0,0.5139,68359.0,1.0,68359.0
Geelong,232.0,0.0032,399.0,0.0055,683.0,0.0095,2411.0,0.0335,3153.0,0.0438,5591.0,0.0778,0.0,0.0,0.0,0.0,0.0,0.0,379.0,0.0053,421.0,0.0059,912.0,0.0127,0.0,0.0,0.0,0.0,5.0,0.0001,7807.0,0.1086,8819.0,0.1226,16587.0,0.2307,14.0,0.0002,36.0,0.0005,55.0,0.0008,367.0,0.0051,444.0,0.0062,925.0,0.0129,36.0,0.0005,67.0,0.0009,147.0,0.002,15.0,0.0002,23.0,0.0003,35.0,0.0005,187.0,0.0026,194.0,0.0027,406.0,0.0056,11.0,0.0002,7.0,0.0001,23.0,0.0003,37.0,0.0005,51.0,0.0007,112.0,0.0016,135.0,0.0019,199.0,0.0028,361.0,0.005,644.0,0.009,859.0,0.0119,1552.0,0.0216,18.0,0.0003,35.0,0.0005,68.0,0.0009,11.0,0.0002,13.0,0.0002,31.0,0.0004,1005.0,0.014,1531.0,0.0213,2535.0,0.0353,685.0,0.0095,836.0,0.0116,1523.0,0.0212,12.0,0.0002,7.0,0.0001,38.0,0.0005,14150.0,0.1968,17052.0,0.2371,31235.0,0.4344,569.0,0.0079,323.0,0.0045,962.0,0.0134,425.0,0.0059,261.0,0.0036,738.0,0.0103,12.0,0.0002,15.0,0.0002,29.0,0.0004,3.0,0.0,0.0,0.0,5.0,0.0001,128.0,0.0018,80.0,0.0011,250.0,0.0035,29.0,0.0004,79.0,0.0011,167.0,0.0023,204.0,0.0028,195.0,0.0027,479.0,0.0067,16506.0,0.2296,16200.0,0.2253,32716.0,0.455,89.0,0.0012,52.0,0.0007,172.0,0.0024,3.0,0.0,32.0,0.0004,66.0,0.0009,16671.0,0.2318,16346.0,0.2273,33050.0,0.4596,2427.0,0.0338,2262.0,0.0315,4684.0,0.0651,34828.0,0.4844,37052.0,0.5153,71905.0,1.0,71905.0
Gippsland East,106.0,0.0017,214.0,0.0033,391.0,0.0061,3905.0,0.0611,4589.0,0.0718,8523.0,0.1333,0.0,0.0,0.0,0.0,0.0,0.0,348.0,0.0054,331.0,0.0052,695.0,0.0109,69.0,0.0011,80.0,0.0013,137.0,0.0021,4589.0,0.0718,5235.0,0.0819,9833.0,0.1538,0.0,0.0,17.0,0.0003,30.0,0.0005,51.0,0.0008,57.0,0.0009,130.0,0.002,98.0,0.0015,163.0,0.0025,329.0,0.0051,17.0,0.0003,6.0,0.0001,25.0,0.0004,19.0,0.0003,61.0,0.001,113.0,0.0018,4.0,0.0001,3.0,0.0,17.0,0.0003,40.0,0.0006,38.0,0.0006,94.0,0.0015,207.0,0.0032,227.0,0.0036,491.0,0.0077,689.0,0.0108,728.0,0.0114,1416.0,0.0221,12.0,0.0002,21.0,0.0003,68.0,0.0011,32.0,0.0005,41.0,0.0006,135.0,0.0021,1098.0,0.0172,1557.0,0.0244,2637.0,0.0412,515.0,0.0081,558.0,0.0087,1177.0,0.0184,9.0,0.0001,7.0,0.0001,33.0,0.0005,12074.0,0.1888,14000.0,0.219,26099.0,0.4082,64.0,0.001,73.0,0.0011,140.0,0.0022,62.0,0.001,49.0,0.0008,127.0,0.002,0.0,0.0,3.0,0.0,14.0,0.0002,5.0,0.0001,0.0,0.0,0.0,0.0,39.0,0.0006,38.0,0.0006,111.0,0.0017,46.0,0.0007,95.0,0.0015,192.0,0.003,120.0,0.0019,162.0,0.0025,301.0,0.0047,15764.0,0.2465,14751.0,0.2307,30447.0,0.4762,40.0,0.0006,39.0,0.0006,144.0,0.0023,16.0,0.0003,23.0,0.0004,49.0,0.0008,15893.0,0.2486,14879.0,0.2327,30782.0,0.4814,3070.0,0.048,2859.0,0.0447,5998.0,0.0938,31499.0,0.4926,32435.0,0.5073,63940.0,1.0,63940.0
Gippsland South,97.0,0.0015,210.0,0.0032,375.0,0.0057,3793.0,0.0576,4463.0,0.0678,8213.0,0.1248,0.0,0.0,0.0,0.0,0.0,0.0,286.0,0.0043,345.0,0.0052,661.0,0.01,19.0,0.0003,28.0,0.0004,65.0,0.001,4671.0,0.071,5484.0,0.0833,10180.0,0.1547,10.0,0.0002,10.0,0.0002,34.0,0.0005,90.0,0.0014,70.0,0.0011,174.0,0.0026,48.0,0.0007,48.0,0.0007,176.0,0.0027,39.0,0.0006,27.0,0.0004,102.0,0.0015,45.0,0.0007,56.0,0.0009,133.0,0.002,5.0,0.0001,4.0,0.0001,17.0,0.0003,36.0,0.0005,44.0,0.0007,128.0,0.0019,114.0,0.0017,143.0,0.0022,304.0,0.0046,602.0,0.0091,669.0,0.0102,1341.0,0.0204,21.0,0.0003,32.0,0.0005,88.0,0.0013,26.0,0.0004,32.0,0.0005,77.0,0.0012,1161.0,0.0176,1527.0,0.0232,2759.0,0.0419,580.0,0.0088,741.0,0.0113,1380.0,0.021,2.0,0.0,7.0,0.0001,27.0,0.0004,12034.0,0.1829,14156.0,0.2151,26160.0,0.3975,99.0,0.0015,97.0,0.0015,236.0,0.0036,72.0,0.0011,43.0,0.0007,111.0,0.0017,3.0,0.0,3.0,0.0,16.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0003,30.0,0.0005,58.0,0.0009,16.0,0.0002,112.0,0.0017,180.0,0.0027,55.0,0.0008,157.0,0.0024,252.0,0.0038,16603.0,0.2523,15166.0,0.2305,31756.0,0.4825,59.0,0.0009,47.0,0.0007,136.0,0.0021,24.0,0.0004,30.0,0.0005,100.0,0.0015,16786.0,0.2551,15305.0,0.2326,32067.0,0.4873,3695.0,0.0561,2789.0,0.0424,6477.0,0.0984,32933.0,0.5004,32852.0,0.4992,65810.0,1.0,65810.0
