district,Intct_fam_no_otr_chld_pre_Fam_n,Intct_fam_no_otr_chld_pre_Fam_pc,Step_fam_no_otr_chld_pre_Fam_n,Step_fam_no_otr_chld_pre_Fam_pc,Blnd_fam_no_otr_chld_pre_Fam_n,Blnd_fam_no_otr_chld_pre_Fam_pc,Intct_fam_othr_child_pres_Fam_n,Intct_fam_othr_child_pres_Fam_pc,Step_fam_othr_child_pres_Fam_n,Step_fam_othr_child_pres_Fam_pc,Blnd_fam_othr_child_pres_Fam_n,Blnd_fam_othr_child_pres_Fam_pc,Otr_cpl_fam_otr_chld_only_Fam_n,Otr_cpl_fam_otr_chld_only_Fam_pc,Tot_Families_n,Tot_Families_pc,Tot_Families_total
South-West Coast,6286.0,0.8697,488.0,0.0675,252.0,0.0349,13.0,0.0018,0.0,0.0,0.0,0.0,15.0,0.0021,7228.0,1.0,7228.0
St Albans,7562.0,0.8882,479.0,0.0563,204.0,0.024,130.0,0.0153,0.0,0.0,0.0,0.0,9.0,0.0011,8514.0,1.0,8514.0
Sunbury,7234.0,0.8887,544.0,0.0668,264.0,0.0324,10.0,0.0012,0.0,0.0,0.0,0.0,3.0,0.0004,8140.0,1.0,8140.0
Sydenham,11284.0,0.9125,578.0,0.0467,231.0,0.0187,56.0,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,12366.0,1.0,12366.0
Tarneit,12787.0,0.9103,605.0,0.0431,272.0,0.0194,154.0,0.011,4.0,0.0003,0.0,0.0,12.0,0.0009,14047.0,1.0,14047.0
Thomastown,9815.0,0.9182,375.0,0.0351,150.0,0.014,81.0,0.0076,3.0,0.0003,0.0,0.0,0.0,0.0,10689.0,1.0,10689.0
Warrandyte,10286.0,0.9301,431.0,0.039,120.0,0.0109,18.0,0.0016,0.0,0.0,0.0,0.0,5.0,0.0005,11059.0,1.0,11059.0
Wendouree,5659.0,0.8565,527.0,0.0798,294.0,0.0445,23.0,0.0035,0.0,0.0,0.0,0.0,6.0,0.0009,6607.0,1.0,6607.0
Werribee,10045.0,0.8856,692.0,0.061,316.0,0.0279,76.0,0.0067,0.0,0.0,0.0,0.0,7.0,0.0006,11342.0,1.0,11342.0
Williamstown,7879.0,0.9268,410.0,0.0482,106.0,0.0125,20.0,0.0024,0.0,0.0,0.0,0.0,4.0,0.0005,8501.0,1.0,8501.0
Yan Yean,9956.0,0.8901,681.0,0.0609,367.0,0.0328,31.0,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,11185.0,1.0,11185.0
