district,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot,Tot_Tot_total
Pakenham,2119.0,2002.0,904.0,533.0,588.0,294.0,115.0,6727.0,376.0,348.0,159.0,74.0,70.0,28.0,0.0,1277.0,337.0,237.0,106.0,42.0,62.0,7.0,6.0,950.0,2630.0,2305.0,1141.0,646.0,816.0,199.0,73.0,8025.0,12.0,10.0,0.0,0.0,0.0,0.0,3.0,71.0,5559.0,5007.0,2436.0,1366.0,1687.0,645.0,267.0,17037.0,95.0,185.0,75.0,54.0,104.0,32.0,17.0,759.0,45.0,87.0,44.0,23.0,35.0,7.0,0.0,439.0,21.0,36.0,5.0,3.0,20.0,0.0,0.0,194.0,443.0,764.0,405.0,233.0,291.0,118.0,47.0,2557.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,42.0,788.0,1181.0,619.0,429.0,569.0,221.0,95.0,4164.0,6322.0,6193.0,3090.0,1889.0,2247.0,935.0,419.0,21136.0,21136.0
Pascoe Vale,713.0,687.0,330.0,128.0,181.0,129.0,55.0,2441.0,370.0,410.0,181.0,64.0,140.0,74.0,16.0,1513.0,424.0,354.0,162.0,56.0,102.0,29.0,8.0,1415.0,1851.0,1765.0,931.0,657.0,806.0,449.0,152.0,6696.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3432.0,3241.0,1701.0,1068.0,1362.0,817.0,362.0,12100.0,21.0,28.0,23.0,17.0,42.0,24.0,9.0,351.0,30.0,83.0,42.0,18.0,25.0,4.0,7.0,320.0,0.0,29.0,20.0,3.0,0.0,5.0,3.0,157.0,106.0,184.0,110.0,81.0,146.0,44.0,19.0,1005.0,4.0,4.0,4.0,7.0,0.0,0.0,0.0,15.0,198.0,407.0,295.0,192.0,317.0,147.0,61.0,1976.0,3692.0,3656.0,2050.0,1324.0,1706.0,1045.0,485.0,14091.0,14091.0
Point Cook,4006.0,4856.0,2231.0,1102.0,1171.0,658.0,288.0,14367.0,437.0,370.0,195.0,113.0,164.0,22.0,3.0,1600.0,395.0,391.0,171.0,97.0,103.0,50.0,17.0,1546.0,1329.0,1415.0,895.0,541.0,686.0,273.0,76.0,5522.0,32.0,17.0,0.0,0.0,0.0,0.0,0.0,69.0,6283.0,7147.0,3673.0,2008.0,2327.0,1181.0,555.0,23101.0,202.0,380.0,177.0,138.0,185.0,78.0,50.0,1563.0,57.0,43.0,21.0,16.0,37.0,0.0,4.0,368.0,27.0,54.0,15.0,0.0,12.0,0.0,0.0,254.0,189.0,266.0,184.0,139.0,138.0,57.0,5.0,1391.0,7.0,29.0,0.0,0.0,0.0,0.0,0.0,68.0,613.0,990.0,573.0,410.0,571.0,229.0,88.0,3787.0,6912.0,8064.0,4262.0,2435.0,2906.0,1496.0,714.0,26864.0,26864.0
Polwarth,152.0,185.0,83.0,37.0,44.0,36.0,3.0,681.0,213.0,246.0,89.0,40.0,61.0,3.0,2.0,807.0,258.0,281.0,93.0,33.0,74.0,29.0,0.0,955.0,2501.0,2753.0,1615.0,1194.0,1405.0,395.0,92.0,10099.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,29.0,3297.0,3465.0,2075.0,1392.0,1651.0,519.0,119.0,12625.0,0.0,19.0,11.0,0.0,4.0,0.0,0.0,64.0,8.0,23.0,6.0,16.0,20.0,5.0,0.0,161.0,3.0,12.0,12.0,0.0,7.0,0.0,0.0,103.0,228.0,419.0,307.0,202.0,270.0,48.0,10.0,1716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,289.0,524.0,356.0,315.0,351.0,68.0,15.0,2202.0,3605.0,4062.0,2476.0,1711.0,2120.0,650.0,158.0,14800.0,14800.0
Prahran,623.0,467.0,121.0,39.0,68.0,27.0,11.0,1590.0,151.0,89.0,27.0,7.0,28.0,17.0,4.0,555.0,283.0,139.0,30.0,12.0,25.0,4.0,0.0,682.0,766.0,463.0,170.0,127.0,202.0,114.0,39.0,2108.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,16.0,1960.0,1240.0,565.0,294.0,416.0,255.0,109.0,5012.0,27.0,43.0,27.0,40.0,44.0,27.0,32.0,485.0,7.0,13.0,0.0,11.0,0.0,13.0,0.0,134.0,8.0,16.0,8.0,11.0,9.0,0.0,0.0,116.0,13.0,54.0,55.0,42.0,45.0,22.0,6.0,426.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,21.0,149.0,230.0,127.0,126.0,174.0,115.0,48.0,1290.0,2150.0,1495.0,721.0,457.0,632.0,442.0,249.0,6322.0,6322.0
Preston,1096.0,972.0,370.0,207.0,327.0,218.0,86.0,3512.0,422.0,318.0,98.0,70.0,120.0,38.0,30.0,1331.0,405.0,296.0,104.0,41.0,56.0,20.0,0.0,1222.0,1631.0,1257.0,770.0,472.0,588.0,281.0,113.0,5287.0,6.0,4.0,7.0,0.0,0.0,0.0,0.0,34.0,3689.0,2951.0,1494.0,951.0,1176.0,723.0,353.0,11388.0,51.0,70.0,67.0,28.0,83.0,35.0,16.0,636.0,24.0,40.0,21.0,22.0,35.0,0.0,3.0,294.0,13.0,14.0,3.0,9.0,12.0,4.0,0.0,150.0,177.0,268.0,144.0,97.0,155.0,47.0,13.0,1175.0,3.0,17.0,4.0,3.0,0.0,0.0,0.0,50.0,354.0,581.0,360.0,268.0,361.0,155.0,78.0,2448.0,4090.0,3616.0,1937.0,1252.0,1580.0,918.0,505.0,13761.0,13761.0
Richmond,488.0,341.0,146.0,56.0,144.0,70.0,39.0,1520.0,225.0,122.0,71.0,40.0,21.0,9.0,7.0,709.0,331.0,215.0,76.0,38.0,35.0,3.0,0.0,822.0,1103.0,717.0,374.0,206.0,293.0,162.0,64.0,3085.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,38.0,2234.0,1555.0,797.0,404.0,605.0,330.0,129.0,6263.0,141.0,190.0,107.0,68.0,88.0,82.0,20.0,796.0,11.0,26.0,3.0,20.0,11.0,6.0,0.0,173.0,4.0,15.0,19.0,4.0,4.0,5.0,0.0,98.0,23.0,58.0,30.0,14.0,37.0,18.0,10.0,443.0,25.0,31.0,6.0,3.0,0.0,0.0,0.0,93.0,248.0,366.0,227.0,149.0,221.0,140.0,46.0,1689.0,2568.0,1981.0,1089.0,616.0,809.0,537.0,279.0,7972.0,7972.0
Ringwood,1732.0,1732.0,723.0,325.0,493.0,258.0,122.0,5598.0,258.0,272.0,145.0,104.0,129.0,52.0,22.0,1278.0,392.0,348.0,172.0,84.0,85.0,23.0,12.0,1461.0,1796.0,1899.0,1140.0,808.0,1116.0,580.0,192.0,7706.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,37.0,4295.0,4336.0,2287.0,1518.0,1908.0,1063.0,526.0,16019.0,66.0,117.0,47.0,37.0,88.0,75.0,18.0,719.0,30.0,31.0,37.0,11.0,19.0,22.0,6.0,262.0,3.0,15.0,6.0,5.0,6.0,4.0,0.0,125.0,59.0,192.0,133.0,72.0,221.0,111.0,54.0,1169.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,223.0,514.0,323.0,217.0,457.0,293.0,130.0,2468.0,4548.0,4823.0,2693.0,1760.0,2467.0,1430.0,686.0,18493.0,18493.0
Ripon,174.0,208.0,71.0,27.0,49.0,4.0,0.0,689.0,57.0,96.0,40.0,13.0,27.0,4.0,0.0,471.0,106.0,103.0,33.0,14.0,46.0,0.0,0.0,430.0,2360.0,2530.0,1676.0,1039.0,1266.0,295.0,59.0,9240.0,11.0,3.0,5.0,3.0,0.0,0.0,0.0,33.0,2785.0,3009.0,1928.0,1221.0,1532.0,369.0,83.0,10918.0,0.0,10.0,12.0,0.0,0.0,4.0,0.0,61.0,17.0,20.0,3.0,0.0,4.0,0.0,0.0,121.0,6.0,15.0,4.0,8.0,8.0,0.0,0.0,72.0,417.0,634.0,396.0,273.0,285.0,26.0,8.0,2342.0,9.0,22.0,11.0,0.0,0.0,0.0,0.0,40.0,478.0,758.0,454.0,349.0,327.0,47.0,12.0,2707.0,3299.0,3748.0,2355.0,1612.0,1834.0,461.0,100.0,13548.0,13548.0
Rowville,1322.0,1656.0,866.0,526.0,866.0,716.0,474.0,6476.0,167.0,202.0,108.0,49.0,84.0,31.0,34.0,1034.0,263.0,236.0,105.0,50.0,135.0,39.0,32.0,1189.0,1100.0,1339.0,933.0,658.0,937.0,549.0,224.0,5812.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2978.0,3567.0,2179.0,1497.0,2126.0,1446.0,903.0,14703.0,27.0,81.0,51.0,21.0,73.0,49.0,18.0,553.0,12.0,23.0,18.0,3.0,6.0,7.0,0.0,166.0,0.0,7.0,12.0,0.0,13.0,5.0,10.0,161.0,89.0,197.0,132.0,113.0,198.0,44.0,22.0,1078.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,189.0,375.0,335.0,230.0,419.0,202.0,95.0,2101.0,3218.0,4012.0,2499.0,1752.0,2571.0,1695.0,1051.0,16768.0,16768.0
Sandringham,572.0,622.0,422.0,243.0,321.0,243.0,71.0,2781.0,305.0,422.0,224.0,165.0,181.0,122.0,33.0,1608.0,319.0,380.0,243.0,126.0,180.0,71.0,44.0,1593.0,1314.0,1571.0,1085.0,738.0,1064.0,654.0,334.0,6815.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2625.0,3071.0,2044.0,1377.0,1884.0,1221.0,660.0,12832.0,10.0,45.0,29.0,31.0,47.0,34.0,11.0,371.0,16.0,58.0,26.0,30.0,36.0,7.0,4.0,278.0,0.0,20.0,15.0,10.0,13.0,15.0,7.0,161.0,50.0,145.0,97.0,71.0,150.0,101.0,24.0,948.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0,137.0,335.0,274.0,194.0,392.0,258.0,79.0,1877.0,2788.0,3407.0,2343.0,1598.0,2283.0,1498.0,712.0,14707.0,14707.0
Shepparton,913.0,917.0,514.0,240.0,343.0,100.0,40.0,3309.0,112.0,93.0,21.0,26.0,22.0,0.0,0.0,424.0,147.0,97.0,24.0,20.0,16.0,0.0,0.0,471.0,2171.0,2158.0,1377.0,929.0,1104.0,273.0,42.0,8146.0,7.0,12.0,1.0,0.0,0.0,0.0,0.0,50.0,3430.0,3403.0,2036.0,1353.0,1639.0,436.0,100.0,12466.0,41.0,69.0,37.0,9.0,41.0,12.0,3.0,345.0,20.0,37.0,15.0,5.0,3.0,0.0,0.0,171.0,14.0,12.0,6.0,7.0,4.0,0.0,0.0,81.0,516.0,817.0,540.0,381.0,414.0,44.0,7.0,2937.0,13.0,23.0,5.0,0.0,9.0,0.0,0.0,79.0,662.0,1051.0,683.0,455.0,551.0,87.0,15.0,3656.0,4126.0,4487.0,2728.0,1891.0,2209.0,566.0,146.0,16228.0,16228.0
South Barwon,659.0,656.0,270.0,150.0,213.0,93.0,35.0,2301.0,302.0,276.0,110.0,45.0,82.0,31.0,27.0,1107.0,269.0,287.0,122.0,48.0,92.0,35.0,4.0,1065.0,2993.0,2736.0,1422.0,876.0,1116.0,452.0,138.0,9864.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,4310.0,4088.0,2053.0,1257.0,1642.0,702.0,270.0,14417.0,13.0,19.0,9.0,3.0,9.0,0.0,4.0,129.0,15.0,48.0,27.0,21.0,6.0,0.0,0.0,271.0,11.0,20.0,3.0,0.0,4.0,4.0,3.0,143.0,235.0,497.0,297.0,234.0,333.0,82.0,23.0,1992.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,19.0,309.0,698.0,409.0,303.0,470.0,123.0,44.0,2646.0,4685.0,4786.0,2550.0,1610.0,2139.0,931.0,335.0,17045.0,17045.0
South-West Coast,112.0,129.0,64.0,46.0,39.0,3.0,0.0,625.0,94.0,127.0,58.0,28.0,26.0,3.0,0.0,548.0,95.0,147.0,48.0,22.0,28.0,0.0,0.0,528.0,2366.0,2491.0,1518.0,1140.0,1294.0,247.0,57.0,9309.0,6.0,0.0,6.0,4.0,0.0,0.0,0.0,39.0,2767.0,2967.0,1889.0,1366.0,1546.0,321.0,65.0,11010.0,0.0,8.0,8.0,5.0,17.0,0.0,0.0,82.0,11.0,49.0,23.0,11.0,4.0,0.0,0.0,178.0,9.0,7.0,11.0,18.0,3.0,0.0,0.0,111.0,377.0,614.0,437.0,292.0,305.0,43.0,5.0,2352.0,3.0,4.0,6.0,0.0,0.0,0.0,0.0,30.0,458.0,785.0,547.0,344.0,451.0,50.0,5.0,2860.0,3260.0,3756.0,2459.0,1744.0,2028.0,429.0,88.0,13950.0,13950.0
St Albans,2014.0,2093.0,1131.0,701.0,1046.0,798.0,490.0,8349.0,197.0,168.0,46.0,6.0,44.0,6.0,14.0,724.0,269.0,199.0,44.0,18.0,40.0,13.0,3.0,875.0,604.0,440.0,183.0,110.0,155.0,71.0,30.0,1792.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,31.0,3180.0,3014.0,1602.0,1000.0,1396.0,984.0,586.0,11797.0,277.0,563.0,365.0,301.0,436.0,322.0,163.0,2651.0,10.0,52.0,13.0,4.0,12.0,0.0,0.0,204.0,25.0,86.0,9.0,18.0,18.0,4.0,0.0,284.0,97.0,142.0,75.0,32.0,57.0,12.0,0.0,633.0,14.0,7.0,0.0,0.0,4.0,0.0,0.0,76.0,506.0,1010.0,607.0,408.0,613.0,419.0,208.0,4045.0,3797.0,3941.0,2186.0,1554.0,2125.0,1431.0,872.0,15821.0,15821.0
