district,CF_no_children_F,CF_no_children_F_pc,CF_no_children_P,CF_no_children_P_pc,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_F_pc,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_NdCh_P_pc,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_F_pc,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_P_pc,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_F_pc,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_P_pc,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_F_pc,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_P_pc,CF_ChU15_a_Total_F,CF_ChU15_a_Total_F_pc,CF_ChU15_a_Total_P,CF_ChU15_a_Total_P_pc,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_F_pc,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_NdCh_P_pc,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_F_pc,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_P_pc,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_F_pc,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_P_pc,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_F_pc,CF_no_ChU15_a_Total_P,CF_no_ChU15_a_Total_P_pc,CF_Total_F,CF_Total_F_pc,CF_Total_P,CF_Total_P_pc,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_F_pc,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_NdCh_P_pc,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_F_pc,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_P_pc,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_F_pc,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_P_pc,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_F_pc,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_P_pc,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_F_pc,OPF_ChU15_a_Total_P,OPF_ChU15_a_Total_P_pc,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_F_pc,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_a_NdCh_P_pc,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_F_pc,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_P_pc,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_F_pc,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_P_pc,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_F_pc,OPF_no_ChU15_a_Total_P,OPF_no_ChU15_a_Total_P_pc,OPF_Total_F,OPF_Total_F_pc,OPF_Total_P,OPF_Total_P_pc,Other_family_F,Other_family_F_pc,Other_family_P,Other_family_P_pc,Total_F,Total_F_pc,Total_P,Total_P_pc,Total_P_total
Oakleigh,8817.0,0.1411,17923.0,0.2869,9.0,0.0001,268.0,0.0043,790.0,0.0126,3537.0,0.0566,41.0,0.0007,369.0,0.0059,5743.0,0.0919,21080.0,0.3375,6658.0,0.1066,25336.0,0.4056,425.0,0.0068,2021.0,0.0324,1026.0,0.0164,3824.0,0.0612,1482.0,0.0237,4892.0,0.0783,3101.0,0.0496,10733.0,0.1718,9732.0,0.1558,35997.0,0.5763,3.0,0.0,42.0,0.0007,132.0,0.0021,573.0,0.0092,9.0,0.0001,100.0,0.0016,833.0,0.0133,1971.0,0.0316,1092.0,0.0175,2744.0,0.0439,57.0,0.0009,405.0,0.0065,401.0,0.0064,999.0,0.016,1304.0,0.0209,2883.0,0.0462,1833.0,0.0293,4309.0,0.069,2934.0,0.047,7075.0,0.1133,645.0,0.0103,1432.0,0.0229,22226.0,0.3558,62467.0,1.0,62467.0
Ovens Valley,8341.0,0.1783,16562.0,0.3541,57.0,0.0012,538.0,0.0115,556.0,0.0119,3006.0,0.0643,93.0,0.002,739.0,0.0158,3251.0,0.0695,12828.0,0.2742,4145.0,0.0886,17220.0,0.3681,249.0,0.0053,1258.0,0.0269,458.0,0.0098,1509.0,0.0323,1119.0,0.0239,3536.0,0.0756,1877.0,0.0401,6278.0,0.1342,6025.0,0.1288,23493.0,0.5023,3.0,0.0001,150.0,0.0032,125.0,0.0027,628.0,0.0134,53.0,0.0011,301.0,0.0064,1007.0,0.0215,2636.0,0.0564,1336.0,0.0286,3793.0,0.0811,10.0,0.0002,176.0,0.0038,174.0,0.0037,409.0,0.0087,923.0,0.0197,1958.0,0.0419,1174.0,0.0251,2550.0,0.0545,2561.0,0.0548,6391.0,0.1366,129.0,0.0028,374.0,0.008,17050.0,0.3645,46775.0,1.0,46775.0
Pakenham,6431.0,0.1,13099.0,0.2037,126.0,0.002,1063.0,0.0165,952.0,0.0148,4442.0,0.0691,236.0,0.0037,1223.0,0.019,6653.0,0.1034,25885.0,0.4025,8006.0,0.1245,32645.0,0.5076,369.0,0.0057,1786.0,0.0278,539.0,0.0084,2008.0,0.0312,1194.0,0.0186,4071.0,0.0633,2250.0,0.035,7909.0,0.123,10267.0,0.1596,40577.0,0.6309,31.0,0.0005,350.0,0.0054,232.0,0.0036,1034.0,0.0161,79.0,0.0012,404.0,0.0063,1567.0,0.0244,4236.0,0.0659,1999.0,0.0311,6031.0,0.0938,156.0,0.0024,641.0,0.01,270.0,0.0042,697.0,0.0108,1079.0,0.0168,2587.0,0.0402,1678.0,0.0261,3956.0,0.0615,3660.0,0.0569,10092.0,0.1569,269.0,0.0042,610.0,0.0095,20633.0,0.3208,64315.0,1.0,64315.0
Pascoe Vale,6684.0,0.1293,13429.0,0.2597,80.0,0.0015,563.0,0.0109,681.0,0.0132,3079.0,0.0595,39.0,0.0008,328.0,0.0063,4830.0,0.0934,18176.0,0.3515,5734.0,0.1109,22259.0,0.4305,425.0,0.0082,1800.0,0.0348,694.0,0.0134,2625.0,0.0508,1373.0,0.0266,4478.0,0.0866,2508.0,0.0485,8915.0,0.1724,8224.0,0.1591,31146.0,0.6024,0.0,0.0,85.0,0.0016,115.0,0.0022,477.0,0.0092,13.0,0.0003,96.0,0.0019,849.0,0.0164,1947.0,0.0377,1075.0,0.0208,2659.0,0.0514,65.0,0.0013,412.0,0.008,259.0,0.005,681.0,0.0132,1140.0,0.022,2522.0,0.0488,1534.0,0.0297,3657.0,0.0707,2603.0,0.0503,6285.0,0.1216,384.0,0.0074,875.0,0.0169,17935.0,0.3469,51707.0,1.0,51707.0
Point Cook,6723.0,0.0838,13511.0,0.1684,113.0,0.0014,1085.0,0.0135,1366.0,0.017,6287.0,0.0784,198.0,0.0025,1111.0,0.0138,9506.0,0.1185,35980.0,0.4485,11304.0,0.1409,44495.0,0.5546,537.0,0.0067,2476.0,0.0309,1052.0,0.0131,3730.0,0.0465,1740.0,0.0217,5726.0,0.0714,3430.0,0.0428,12019.0,0.1498,14758.0,0.184,56543.0,0.7048,0.0,0.0,251.0,0.0031,218.0,0.0027,996.0,0.0124,26.0,0.0003,405.0,0.005,1367.0,0.017,3634.0,0.0453,1780.0,0.0222,5336.0,0.0665,108.0,0.0013,594.0,0.0074,329.0,0.0041,874.0,0.0109,1110.0,0.0138,2593.0,0.0323,1701.0,0.0212,4081.0,0.0509,3524.0,0.0439,9456.0,0.1179,255.0,0.0032,683.0,0.0085,25211.0,0.3142,80226.0,1.0,80226.0
Polwarth,8414.0,0.158,16729.0,0.3142,69.0,0.0013,729.0,0.0137,847.0,0.0159,3996.0,0.075,142.0,0.0027,823.0,0.0155,4342.0,0.0815,17176.0,0.3225,5485.0,0.103,22772.0,0.4276,311.0,0.0058,1445.0,0.0271,622.0,0.0117,2148.0,0.0403,1236.0,0.0232,3920.0,0.0736,2238.0,0.042,7583.0,0.1424,7790.0,0.1463,30301.0,0.569,3.0,0.0001,107.0,0.002,109.0,0.002,594.0,0.0112,20.0,0.0004,171.0,0.0032,862.0,0.0162,2282.0,0.0429,1103.0,0.0207,3118.0,0.0586,50.0,0.0009,314.0,0.0059,141.0,0.0026,469.0,0.0088,848.0,0.0159,1836.0,0.0345,1141.0,0.0214,2627.0,0.0493,2327.0,0.0437,5769.0,0.1083,161.0,0.003,412.0,0.0077,18724.0,0.3516,53251.0,1.0,53251.0
Prahran,10399.0,0.2692,20610.0,0.5336,0.0,0.0,94.0,0.0024,166.0,0.0043,851.0,0.022,9.0,0.0002,56.0,0.0014,2562.0,0.0663,8973.0,0.2323,2823.0,0.0731,10006.0,0.259,80.0,0.0021,455.0,0.0118,351.0,0.0091,1353.0,0.035,386.0,0.01,1276.0,0.033,906.0,0.0235,3081.0,0.0798,3723.0,0.0964,13068.0,0.3383,0.0,0.0,37.0,0.001,28.0,0.0007,283.0,0.0073,0.0,0.0,45.0,0.0012,551.0,0.0143,1292.0,0.0334,656.0,0.017,1703.0,0.0441,25.0,0.0006,148.0,0.0038,303.0,0.0078,746.0,0.0193,607.0,0.0157,1219.0,0.0316,964.0,0.025,2120.0,0.0549,1708.0,0.0442,3809.0,0.0986,531.0,0.0137,1122.0,0.029,16397.0,0.4245,38626.0,1.0,38626.0
Preston,7313.0,0.1347,14733.0,0.2713,59.0,0.0011,557.0,0.0103,610.0,0.0112,2873.0,0.0529,75.0,0.0014,559.0,0.0103,4673.0,0.0861,17446.0,0.3213,5464.0,0.1006,21388.0,0.3938,370.0,0.0068,1845.0,0.034,549.0,0.0101,2096.0,0.0386,1460.0,0.0269,4750.0,0.0875,2448.0,0.0451,8762.0,0.1613,7980.0,0.1469,30219.0,0.5565,3.0,0.0001,129.0,0.0024,126.0,0.0023,563.0,0.0104,20.0,0.0004,231.0,0.0043,977.0,0.018,2476.0,0.0456,1217.0,0.0224,3411.0,0.0628,88.0,0.0016,496.0,0.0091,260.0,0.0048,714.0,0.0131,1609.0,0.0296,3589.0,0.0661,2069.0,0.0381,4827.0,0.0889,3267.0,0.0602,8151.0,0.1501,538.0,0.0099,1222.0,0.0225,19130.0,0.3523,54305.0,1.0,54305.0
Richmond,8863.0,0.2249,17661.0,0.4482,0.0,0.0,87.0,0.0022,265.0,0.0067,1246.0,0.0316,25.0,0.0006,201.0,0.0051,2880.0,0.0731,10428.0,0.2647,3255.0,0.0826,11931.0,0.3028,98.0,0.0025,590.0,0.015,461.0,0.0117,1587.0,0.0403,532.0,0.0135,1684.0,0.0427,1146.0,0.0291,3894.0,0.0988,4333.0,0.11,15884.0,0.4031,3.0,0.0001,77.0,0.002,87.0,0.0022,374.0,0.0095,33.0,0.0008,126.0,0.0032,700.0,0.0178,1728.0,0.0439,890.0,0.0226,2337.0,0.0593,17.0,0.0004,170.0,0.0043,240.0,0.0061,614.0,0.0156,705.0,0.0179,1580.0,0.0401,1066.0,0.0271,2425.0,0.0615,1963.0,0.0498,4771.0,0.1211,479.0,0.0122,1010.0,0.0256,15707.0,0.3987,39400.0,1.0,39400.0
Ringwood,7699.0,0.1205,15542.0,0.2432,71.0,0.0011,697.0,0.0109,983.0,0.0154,4539.0,0.071,61.0,0.001,512.0,0.008,6226.0,0.0974,23449.0,0.3669,7438.0,0.1164,29248.0,0.4576,583.0,0.0091,2426.0,0.038,1009.0,0.0158,3589.0,0.0562,1442.0,0.0226,4851.0,0.0759,3065.0,0.048,10888.0,0.1704,10537.0,0.1649,40100.0,0.6274,3.0,0.0,92.0,0.0014,121.0,0.0019,664.0,0.0104,3.0,0.0,146.0,0.0023,829.0,0.013,2151.0,0.0337,1146.0,0.0179,3043.0,0.0476,131.0,0.002,570.0,0.0089,376.0,0.0059,1061.0,0.0166,1263.0,0.0198,2755.0,0.0431,1930.0,0.0302,4415.0,0.0691,3087.0,0.0483,7498.0,0.1173,297.0,0.0046,754.0,0.0118,21698.0,0.3395,63910.0,1.0,63910.0
Ripon,8385.0,0.1629,16739.0,0.3252,63.0,0.0012,726.0,0.0141,707.0,0.0137,3440.0,0.0668,158.0,0.0031,1013.0,0.0197,3553.0,0.069,14533.0,0.2824,4713.0,0.0916,19693.0,0.3826,261.0,0.0051,1353.0,0.0263,436.0,0.0085,1700.0,0.033,1404.0,0.0273,4485.0,0.0871,2238.0,0.0435,7457.0,0.1449,6920.0,0.1345,27156.0,0.5276,9.0,0.0002,173.0,0.0034,134.0,0.0026,597.0,0.0116,57.0,0.0011,398.0,0.0077,1069.0,0.0208,2948.0,0.0573,1426.0,0.0277,4157.0,0.0808,39.0,0.0008,279.0,0.0054,165.0,0.0032,420.0,0.0082,1046.0,0.0203,2371.0,0.0461,1355.0,0.0263,3009.0,0.0585,2795.0,0.0543,7115.0,0.1382,154.0,0.003,534.0,0.0104,18323.0,0.356,51468.0,1.0,51468.0
Rowville,6776.0,0.1082,13694.0,0.2187,77.0,0.0012,722.0,0.0115,996.0,0.0159,4599.0,0.0735,109.0,0.0017,829.0,0.0132,4669.0,0.0746,18179.0,0.2903,6048.0,0.0966,24365.0,0.3891,910.0,0.0145,3811.0,0.0609,1356.0,0.0217,4803.0,0.0767,2668.0,0.0426,8923.0,0.1425,4892.0,0.0781,17541.0,0.2801,10932.0,0.1746,41886.0,0.669,0.0,0.0,108.0,0.0017,148.0,0.0024,579.0,0.0092,4.0,0.0001,168.0,0.0027,634.0,0.0101,1742.0,0.0278,936.0,0.0149,2693.0,0.043,102.0,0.0016,511.0,0.0082,285.0,0.0046,800.0,0.0128,1131.0,0.0181,2532.0,0.0404,1590.0,0.0254,3873.0,0.0619,2556.0,0.0408,6538.0,0.1044,140.0,0.0022,506.0,0.0081,20497.0,0.3274,62613.0,1.0,62613.0
Sandringham,6930.0,0.1364,13820.0,0.272,41.0,0.0008,374.0,0.0074,893.0,0.0176,4095.0,0.0806,24.0,0.0005,288.0,0.0057,4236.0,0.0834,16203.0,0.3189,5293.0,0.1042,21049.0,0.4143,485.0,0.0095,2032.0,0.04,1196.0,0.0235,4343.0,0.0855,1253.0,0.0247,3953.0,0.0778,2888.0,0.0568,10362.0,0.2039,8213.0,0.1616,31454.0,0.6191,0.0,0.0,55.0,0.0011,161.0,0.0032,581.0,0.0114,6.0,0.0001,47.0,0.0009,680.0,0.0134,1568.0,0.0309,932.0,0.0183,2247.0,0.0442,67.0,0.0013,383.0,0.0075,391.0,0.0077,958.0,0.0189,801.0,0.0158,1672.0,0.0329,1368.0,0.0269,2975.0,0.0586,2217.0,0.0436,5276.0,0.1038,139.0,0.0027,304.0,0.006,17486.0,0.3442,50808.0,1.0,50808.0
Shepparton,7770.0,0.1385,15442.0,0.2753,120.0,0.0021,1082.0,0.0193,755.0,0.0135,3884.0,0.0692,166.0,0.003,1117.0,0.0199,4194.0,0.0748,16744.0,0.2985,5425.0,0.0967,22805.0,0.4065,282.0,0.005,1703.0,0.0304,476.0,0.0085,1685.0,0.03,1476.0,0.0263,4753.0,0.0847,2387.0,0.0426,8136.0,0.145,7743.0,0.138,31022.0,0.553,17.0,0.0003,271.0,0.0048,222.0,0.004,965.0,0.0172,87.0,0.0016,545.0,0.0097,1352.0,0.0241,3815.0,0.068,1801.0,0.0321,5649.0,0.1007,79.0,0.0014,423.0,0.0075,177.0,0.0032,535.0,0.0095,1186.0,0.0211,2505.0,0.0447,1495.0,0.0267,3453.0,0.0616,3398.0,0.0606,9071.0,0.1617,209.0,0.0037,599.0,0.0107,19115.0,0.3408,56094.0,1.0,56094.0
South Barwon,7431.0,0.1306,14757.0,0.2594,40.0,0.0007,531.0,0.0093,818.0,0.0144,3751.0,0.0659,126.0,0.0022,791.0,0.0139,5513.0,0.0969,21299.0,0.3744,6585.0,0.1157,26338.0,0.4629,371.0,0.0065,1733.0,0.0305,771.0,0.0136,2772.0,0.0487,1293.0,0.0227,4078.0,0.0717,2513.0,0.0442,8602.0,0.1512,9027.0,0.1587,34937.0,0.6141,6.0,0.0001,183.0,0.0032,180.0,0.0032,816.0,0.0143,38.0,0.0007,309.0,0.0054,957.0,0.0168,2475.0,0.0435,1372.0,0.0241,3756.0,0.066,65.0,0.0011,352.0,0.0062,269.0,0.0047,665.0,0.0117,840.0,0.0148,1895.0,0.0333,1242.0,0.0218,2916.0,0.0513,2601.0,0.0457,6617.0,0.1163,208.0,0.0037,517.0,0.0091,19323.0,0.3396,56895.0,1.0,56895.0
