district,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total,Total_Total_total
Melbourne,Null,23638.0,23638.0,15665.0,5554.0,21168.0,4392.0,1555.0,5947.0,2274.0,564.0,2867.0,451.0,126.0,627.0,203.0,38.0,267.0,23045.0,31696.0,54747.0,54747.0
Melton,Null,5393.0,5393.0,6906.0,499.0,7486.0,4872.0,47.0,4941.0,4772.0,0.0,4783.0,2345.0,0.0,2355.0,1706.0,0.0,1716.0,20616.0,6045.0,26659.0,26659.0
Mildura,Null,7620.0,7620.0,8577.0,581.0,9117.0,3413.0,109.0,3526.0,3080.0,36.0,3135.0,1567.0,7.0,1596.0,840.0,22.0,905.0,17436.0,8577.0,25968.0,25968.0
Mill Park,Null,3970.0,3970.0,6007.0,348.0,6443.0,4359.0,47.0,4445.0,4870.0,14.0,4907.0,1950.0,0.0,1968.0,891.0,4.0,905.0,18183.0,4503.0,22722.0,22722.0
Monbulk,Null,4679.0,4679.0,7451.0,362.0,7874.0,3930.0,30.0,4028.0,4430.0,0.0,4460.0,1688.0,0.0,1693.0,623.0,0.0,629.0,18096.0,5214.0,23309.0,23309.0
Mordialloc,Null,6092.0,6092.0,7224.0,355.0,7610.0,4416.0,38.0,4499.0,5364.0,3.0,5388.0,1891.0,0.0,1920.0,575.0,0.0,574.0,19512.0,6635.0,26084.0,26084.0
Mornington,Null,5917.0,5917.0,8229.0,226.0,8520.0,3350.0,18.0,3383.0,4142.0,0.0,4165.0,1688.0,0.0,1689.0,444.0,0.0,444.0,17922.0,6224.0,24138.0,24138.0
Morwell,Null,9341.0,9341.0,9215.0,682.0,9911.0,3779.0,15.0,3841.0,3402.0,0.0,3421.0,1364.0,0.0,1372.0,634.0,0.0,653.0,18431.0,10065.0,28561.0,28561.0
Mulgrave,Null,5870.0,5870.0,7334.0,612.0,8009.0,4619.0,197.0,4908.0,4438.0,112.0,4630.0,1846.0,55.0,1915.0,1129.0,18.0,1180.0,19440.0,7086.0,26512.0,26512.0
Murray Plains,Null,7474.0,7474.0,8914.0,483.0,9465.0,3130.0,39.0,3236.0,2805.0,6.0,2811.0,1471.0,0.0,1468.0,672.0,0.0,670.0,16971.0,8136.0,25102.0,25102.0
