district,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P,Total_P_total
Kew,6661.0,13399.0,19.0,393.0,1429.0,6403.0,45.0,352.0,4467.0,17401.0,6075.0,24541.0,703.0,3153.0,1767.0,6175.0,1706.0,5465.0,4190.0,14810.0,10232.0,39277.0,0.0,60.0,293.0,1058.0,0.0,89.0,801.0,2033.0,1165.0,3222.0,91.0,510.0,624.0,1514.0,838.0,1915.0,1665.0,3947.0,2881.0,7092.0,237.0,637.0,20070.0,60379.0,60379.0
Kororoit,5602.0,11442.0,162.0,1589.0,1337.0,6492.0,195.0,1359.0,7130.0,28134.0,8991.0,37501.0,618.0,2893.0,861.0,3354.0,2049.0,6937.0,3590.0,13158.0,12605.0,50613.0,34.0,468.0,270.0,1158.0,64.0,531.0,1205.0,3549.0,1716.0,5785.0,176.0,809.0,328.0,905.0,1399.0,3273.0,1983.0,5047.0,3752.0,10798.0,330.0,784.0,22327.0,73611.0,73611.0
Lara,6536.0,13264.0,84.0,853.0,619.0,3171.0,157.0,1029.0,3769.0,14725.0,4795.0,19666.0,319.0,1632.0,513.0,1786.0,1592.0,5293.0,2496.0,8682.0,7333.0,28359.0,25.0,284.0,216.0,964.0,114.0,634.0,1404.0,3874.0,1899.0,5793.0,121.0,588.0,264.0,741.0,1506.0,3475.0,1990.0,4699.0,3901.0,10462.0,310.0,758.0,18228.0,52823.0,52823.0
Laverton,6561.0,13524.0,132.0,1245.0,951.0,4757.0,102.0,982.0,8363.0,32159.0,9673.0,39145.0,348.0,1765.0,686.0,2414.0,1469.0,4874.0,2488.0,9089.0,12252.0,48260.0,37.0,484.0,224.0,1064.0,47.0,430.0,1331.0,3713.0,1801.0,5747.0,125.0,689.0,297.0,831.0,1527.0,3494.0,2019.0,5038.0,3873.0,10779.0,586.0,1359.0,23267.0,73823.0,73823.0
Lowan,8768.0,17436.0,56.0,600.0,642.0,3315.0,83.0,669.0,3543.0,14145.0,4510.0,18675.0,194.0,1161.0,418.0,1538.0,1322.0,4041.0,2078.0,6653.0,6542.0,25371.0,7.0,123.0,137.0,643.0,54.0,382.0,985.0,2808.0,1299.0,3948.0,26.0,275.0,119.0,418.0,892.0,1982.0,1192.0,2729.0,2526.0,6582.0,184.0,530.0,18101.0,49936.0,49936.0
Macedon,7737.0,15435.0,49.0,580.0,786.0,3806.0,107.0,751.0,4239.0,16799.0,5370.0,21888.0,368.0,1688.0,763.0,2587.0,1414.0,4432.0,2526.0,8737.0,7892.0,30692.0,10.0,115.0,137.0,559.0,37.0,189.0,735.0,1981.0,1039.0,2869.0,56.0,277.0,204.0,518.0,848.0,1801.0,1153.0,2601.0,2212.0,5455.0,69.0,275.0,17991.0,51854.0,51854.0
Malvern,7108.0,14223.0,0.0,242.0,800.0,3681.0,3.0,149.0,3575.0,13687.0,4464.0,17693.0,415.0,1831.0,1181.0,4261.0,961.0,3121.0,2593.0,9192.0,7088.0,26870.0,0.0,44.0,94.0,468.0,0.0,53.0,659.0,1454.0,850.0,1962.0,49.0,294.0,328.0,868.0,654.0,1499.0,1194.0,2740.0,1974.0,4635.0,297.0,647.0,16513.0,46472.0,46472.0
Melbourne,14152.0,28384.0,20.0,222.0,257.0,1512.0,10.0,129.0,3719.0,12807.0,4106.0,14705.0,83.0,543.0,407.0,1541.0,383.0,1411.0,994.0,3542.0,5131.0,18124.0,5.0,80.0,103.0,480.0,24.0,121.0,829.0,2044.0,1044.0,2696.0,25.0,258.0,489.0,1064.0,707.0,1578.0,1349.0,2928.0,2421.0,5612.0,1382.0,3045.0,23233.0,55198.0,55198.0
Melton,6031.0,12383.0,165.0,1609.0,917.0,4738.0,266.0,1568.0,6637.0,26520.0,8068.0,34318.0,359.0,1866.0,527.0,1895.0,1540.0,5011.0,2489.0,8824.0,10652.0,43176.0,37.0,606.0,320.0,1321.0,117.0,667.0,1828.0,5321.0,2492.0,7995.0,75.0,495.0,244.0,597.0,1452.0,3195.0,1871.0,4426.0,4370.0,12418.0,263.0,729.0,21390.0,68621.0,68621.0
Mildura,7693.0,15327.0,73.0,826.0,677.0,3430.0,158.0,974.0,3605.0,14494.0,4661.0,19711.0,262.0,1241.0,457.0,1468.0,1320.0,4204.0,2049.0,6879.0,6763.0,26625.0,12.0,189.0,166.0,764.0,87.0,530.0,1261.0,3487.0,1703.0,5058.0,54.0,321.0,147.0,471.0,1074.0,2426.0,1373.0,3201.0,3092.0,8257.0,251.0,674.0,17878.0,50793.0,50793.0
